#,Vocabulary,Reading,Type,Meaning
74,新幹線,しんかんせん,Noun,Japanese bullet train
75,白髪,しらが,Noun,white hair; grey hair
76,自然科学,しぜんかがく,Noun,natural science
77,書店,しょてん,Noun,bookshop; bookstore
78,商社,しょうしゃ,Noun,trading company; firm
79,商店,しょうてん,Noun,shop; small store; business; firm
80,集合,しゅうごう,"Noun, Verb, Suru verb",gathering; assembly; meeting
81,習字,しゅうじ,Noun,calligraphy; penmanship
82,集会,しゅうかい,"Noun, Verb, Suru verb",meeting; assembly; gathering; convention; rally
83,父母,そぼ,Noun,father and mother; parents
84,速力,そくりょく,Noun,speed
85,速達,そくたつ,"Noun, Verb, Suru verb",express; special delivery
86,足袋,たび,Noun,Japanese socks (with split toe)
87,足る,たる,"Verb, Godan verb, Intransitive verb",to be sufficient; to be enough​; to be worth doing; to be worthy of; to deserve​
88,特売,とくばい,"Noun, Verb, Suru verb",special sale
89,透明,とうめい,"Noun, Adjective, な-adjective",transparent; clear
90,東洋,とうよう,Noun,Orient
91,売れ行き,うれゆき,Noun,sales; demand
92,売上,うりあげ,Noun,amount sold; sales; proceeds; turnover
93,売り切れ,うりきれ,Noun,sold out
94,売り切れる,うりきれる,"Verb, Ichidan verb, Intransitive verb",to be sold out
95,我が,わが,Pre-noun adjectival,my; our; one's own
96,洋品店,ようひんてん,Noun,shop that handles Western-style apparel and accessories
97,輸血,ゆけつ,"Noun, Verb, Suru verb",blood transfusion
98,輸送,ゆそう,"Noun, Verb, Suru verb",transport; transportation
99,材木,ざいもく,Noun,lumber; timber
