#,Vocabulary,Reading,Type,Meaning
42,地理,ちり,Noun,geography
43,中学校,ちゅうがっこう,Noun,junior high school; middle school
44,注意,ちゅうい,"Noun, Suru verb",caution
45,注射,ちゅうしゃ,"Noun, Suru verb",injection
46,駐車場,ちゅうしゃじょう,Noun,parking lot
47,大分,だいぶ,Adverb,considerably; greatly; a lot​
48,大学生,だいがくせい,Noun,university student; college student
49,大事,だいじ,"Adjective, な-adjective",important; serious; crucial
50,大体,だいたい,Noun,roughly
51,暖房,だんぼう,"Noun, Suru verb",heating
52,男性,だんせい,Noun,man; male
53,できるだけ,,"Adverb, Expression",as much as possible
54,電報,でんぽう,Noun,telegram
55,電灯,でんとう,Noun,electric light
56,どんどん,,Adverb,rapidly; more and more
57,泥棒,どろぼう,Noun,thief
58,動物園,どうぶつえん,Noun,zoo; zoological gardens
59,道具,どうぐ,Noun,tool
60,枝,えだ,Noun,branch
61,遠慮,えんりょ,"Noun, Suru verb",reserve; refraining
62,選ぶ,えらぶ,"Verb, Godan verb, Transitive verb",to choose
63,エスカレーター,,"Noun, Katakana",escalator
64,ファックス,,"Noun, Suru verb, Katakana",fax
65,不便,ふべん,"Noun, Adjective, な-adjective",inconvenience
66,増える,ふえる,"Verb, Ichidan verb, Intransitive verb",to increase
67,深い,ふかい,"Adjective, い-adjective",deep
68,復習,ふくしゅう,"Noun, Verb, Suru verb",review (of learned material); revision
69,複雑,ふくざつ,"Noun, Adjective, な-adjective",complexity; complication
70,踏む,ふむ,"Verb, Godan verb, Transitive verb",to step on
71,舟,ふね,Noun,ship
72,降り出す,ふりだす,"Verb, Godan verb, Intransitive verb",to start to rain
73,布団,ふとん,Noun,"Japanese bedding, futon"
74,太る,ふとる,"Verb, Godan verb, Intransitive verb",to become fat
75,普通,ふつう,"Noun, Adverb",usually
76,ガラス,,"Noun, Katakana",a glass
77,ガソリン,,"Noun, Katakana",gasoline; petrol
78,ガソリンスタンド,,"Noun, Katakana",petrol station
79,ガス,,"Noun, Katakana",petrol
80,原因,げんいん,"Noun, Suru verb",cause
81,下宿,げしゅく,"Noun, Suru verb",lodging
82,技術,ぎじゅつ,Noun,"art,technology,skill"
83,ごちそう,,"Noun, Suru verb",a feast
84,ごみ,,Noun,rubbish
85,ご覧になる,ごらんになる,"Verb, Godan verb, Expression",(respectful) to see
86,ご主人,ごしゅじん,Noun,your husband; her husband
87,ご存じ,ごぞんじ,Noun,knowing
88,具合,ぐあい,Noun,condition; health
89,葉,は,Noun,leaves; leaf
90,拝見,はいけん,"Noun, Suru verb",seeing; looking at​
91,歯医者,はいしゃ,Noun,dentist
92,はっきり,,Adverb,clearly
93,運ぶ,はこぶ,"Verb, Godan verb, Transitive verb",to carry
94,花見,はなみ,"Noun, Verb, Suru verb",cherry blossom viewing; flower viewing
95,ハンドバッグ,,"Noun, Katakana",handbag
96,反対,はんたい,"Noun, Adjective, な-adjective, Suru verb",opposition
97,払う,はらう,"Verb, Godan verb, Transitive verb",to pay
98,発音,はつおん,"Noun, Suru verb",pronunciation
99,林,はやし,Noun,woods; forest
100,恥ずかしい,はずかしい,"Adjective, い-adjective",embarrassed
101,変,へん,"Noun, Adjective, な-adjective",strange; peculiar; weird
102,返事,へんじ,"Noun, Suru verb",reply; answer; response
103,火,ひ,Noun,fire
104,酷い,ひどい,"Adjective, い-adjective",terrible; awful​
105,冷える,ひえる,"Verb, Ichidan verb, Intransitive verb",to grow cold
106,髭,ひげ,Noun,beard
107,非常に,ひじょうに,Adverb,extremely
108,光,ひかり,Noun,light
109,光る,ひかる,"Verb, Godan verb, Intransitive verb",to shine
110,引き出し,ひきだし,Noun,drawer
111,引き出す,ひきだす,"Verb, Godan verb, Transitive verb",to withdraw
112,引っ越す,ひっこす,"Verb, Godan verb, Intransitive verb",to move house
113,飛行場,ひこうじょう,Noun,airfield; airport
114,開く,ひらく,"Verb, Godan verb, Intransitive verb, Transitive verb",to open; to undo; to unseal; to unpack
115,拾う,ひろう,"Verb, Godan verb, Transitive verb",to pick up
116,昼間,ひるま,Noun,daytime; during the day
117,昼休み,ひるやすみ,Noun,lunch break; noon recess; noon rest period
118,久しぶり,ひさしぶり,"Noun, Adjective, な-adjective",after a long time
119,褒める,ほめる,"Verb, Ichidan verb, Transitive verb",to praise
120,翻訳,ほんやく,"Noun, Suru verb",translation
121,星,ほし,Noun,star
122,ほとんど,,Adverbial Noun,mostly
123,法律,ほうりつ,Noun,law
124,放送,ほうそう,"Noun, Suru verb",to broadcast
125,一度,いちど,Noun,once; one time; on one occasion
126,以外,いがい,Noun,with the exception of; excepting
127,医学,いがく,Noun,medical science; medicine
128,いじめる,,"Verb, Ichidan verb, Transitive verb",to tease
129,以上,いじょう,"Noun, Adverbial Noun",... and more; ... and upwards​
130,以下,いか,Noun,not exceeding
131,意見,いけん,"Noun, Verb, Suru verb",opinion; view; comment
132,生き物,いきもの,Noun,living thing
133,生きる,いきる,"Verb, Ichidan verb, Intransitive verb",to live
134,以内,いない,"Noun, Suffix",within
135,田舎,いなか,Noun,countryside
136,祈る,いのる,"Verb, Godan verb, Transitive verb",to pray
137,いっぱい,,"Noun, Adjective, な-adjective, Adverb",full
138,色んな,いろんな,Pre-noun adjectival,various
139,石,いし,Noun,stone
140,急ぐ,いそぐ,"Verb, Godan verb, Intransitive verb",to hurry; to rush; to hasten; to make something happen sooner
141,一生懸命,いっしょうけんめい,"Noun, Adverbial Noun, Adjective, な-adjective",very hard; with utmost effort
142,頂く,いただく,"Verb, Godan verb, Transitive verb",(humble) to receive
143,致す,いたす,"Verb, Godan verb, Transitive verb",(humble) to do
144,糸,いと,Noun,thread
145,ジャム,,"Noun, Katakana",jam
146,字,じ,Noun,character
147,時代,じだい,Noun,period
148,事故,じこ,Noun,accident
149,事務所,じむしょ,Noun,office
150,神社,じんじゃ,Noun,Shinto shrine
151,人口,じんこう,Noun,population
152,人生,じんせい,Noun,human life
153,地震,じしん,Noun,earthquake
154,辞典,じてん,Noun,dictionary
155,自由,じゆう,"Noun, Adjective, な-adjective, Expression",freedom
156,女性,じょせい,Noun,woman; female
157,準備,じゅんび,"Noun, Suru verb",to prepare
158,十分,じゅうぶん,"Noun, Adjective, な-adjective, Adverb",enough; sufficient; plenty; adequate; satisfactory
159,柔道,じゅうどう,Noun,judo
160,住所,じゅうしょ,Noun,address
161,カーテン,,"Noun, Katakana",curtain
162,壁,かべ,Noun,wall
163,課長,かちょう,Noun,section manager; section chief
164,帰り,かえり,Noun,return; coming back
165,変える,かえる,"Verb, Ichidan verb, Transitive verb",to change; to transform
166,科学,かがく,Noun,science
167,鏡,かがみ,Noun,mirror
168,海岸,かいがん,Noun,coast
169,会議,かいぎ,"Noun, Verb, Suru verb",meeting; conference; session; assembly
170,会議室,かいぎしつ,Noun,conference room; conference hall; council room
171,会場,かいじょう,Noun,assembly hall; meeting place; venue; grounds
172,会話,かいわ,"Noun, Verb, Suru verb",conversation
173,火事,かじ,Noun,fire
174,格好,かっこう,Noun,appearance
175,構う,かまう,"Verb, Godan verb",to mind
176,髪,かみ,Noun,hair
177,噛む,かむ,"Verb, Godan verb, Transitive verb","to bite,to chew"
178,家内,かない,Noun,(my) wife; inside the home; one's family
179,必ず,かならず,Adverb,always; certainly
180,悲しい,かなしい,"Adjective, い-adjective",sad
181,考える,かんがえる,"Verb, Ichidan verb, Transitive verb",to think
182,看護婦,かんごふ,Noun,female nurse
183,関係,かんけい,"Noun, Suru verb",relationship
184,彼女,かのじょ,Pronoun,she; her​
185,簡単,かんたん,"Noun, Adjective, な-adjective",simple; easy
186,彼,かれ,Pronoun,he; him​; his
187,彼ら,かれら,Pronoun,they; them
188,形,かたち,Noun,shape
189,片付ける,かたづける,"Verb, Ichidan verb, Transitive verb",to tidy up
190,硬い,かたい,"Adjective, い-adjective",hard
191,勝つ,かつ,"Verb, Godan verb, Intransitive verb",to win
192,乾く,かわく,"Verb, Godan verb, Intransitive verb",to get dry
193,代わり,かわり,Noun,instead; in place
194,変わる,かわる,"Verb, Godan verb, Intransitive verb",to change
195,通う,かよう,"Verb, Godan verb, Intransitive verb",to commute
196,飾る,かざる,"Verb, Godan verb, Transitive verb",to decorate
197,毛,け,Noun,hair or fur
198,ケーキ,,"Noun, Katakana",cake
199,怪我,けが,"Noun, Suru verb",to injure
200,計画,けいかく,"Noun, Suru verb",to plan
201,経験,けいけん,"Noun, Suru verb",to experience
202,警察,けいさつ,Noun,police
203,経済,けいざい,Noun,"finance, economy"
204,見物,けんぶつ,"Noun, Suru verb",sightseeing; visit
205,喧嘩,けんか,"Noun, Suru verb",to quarrel
206,研究,けんきゅう,"Noun, Suru verb",research
207,研究室,けんきゅうしつ,Noun,laboratory
208,消しゴム,,Noun,eraser
209,景色,けしき,Noun,scenery
210,気,き,Noun,spirit
211,厳しい,きびしい,"Adjective, い-adjective",strict
212,気分,きぶん,Noun,feeling; mood
213,機会,きかい,Noun,chance; opportunity
214,危険,きけん,"Noun, Adjective, な-adjective",danger
215,聞こえる,きこえる,"Verb, Ichidan verb, Intransitive verb",to be heard; to be audible; to be said
216,決まる,きまる,"Verb, Godan verb, Intransitive verb",to be decided
217,決める,きめる,"Verb, Ichidan verb, Transitive verb",to decide
218,君,きみ,Pronoun,You
219,気持ち,きもち,Noun,feeling
220,着物,きもの,Noun,kimono; Japanese traditional clothing
221,近所,きんじょ,Noun,neighbourhood
222,絹,きぬ,Noun,silk
223,季節,きせつ,Noun,season
224,汽車,きしゃ,Noun,train
225,規則,きそく,Noun,rule
226,子,こ,Noun,child
227,心,こころ,Noun,heart
228,国際,こくさい,Noun,international
229,細かい,こまかい,"Adjective, い-adjective","small, fine"
230,米,こめ,Noun,(husked grains of) rice
231,込む,こむ,"Verb, Godan verb, Intransitive verb",to be crowded
232,今度,こんど,Noun,this time; next time
233,この間,このあいだ,Adverbial Noun,the other day; recently
234,このごろ,,Adverbial Noun,these days; nowadays
235,コンピュータ,,"Noun, Katakana",computer
236,コンサート,,"Noun, Katakana",concert
237,今夜,こんや,Noun,this evening; tonigh
238,これから,,Conjunction,after this
239,故障,こしょう,"Noun, Suru verb",to break-down
240,答え,こたえ,Noun,response
241,小鳥,ことり,Noun,small bird
242,こう,,Adverb,this way
243,校長,こうちょう,Noun,principal; headmaster
244,講堂,こうどう,Noun,auditorium
245,郊外,こうがい,Noun,suburb; residential area on the outskirt of a city
246,講義,こうぎ,"Noun, Suru verb",lecture
247,工業,こうぎょう,Noun,industry
248,工場,こうじょう,Noun,factory
249,高校,こうこう,Noun,senior high school; high school​
250,高校生,こうこうせい,Noun,high school student
251,公務員,こうむいん,Noun,government worker
252,高等学校,こうとうがっこう,Noun,high school
253,交通,こうつう,Noun,traffic
254,怖い,こわい,"Adjective, い-adjective",frightening
255,壊れる,こわれる,"Verb, Ichidan verb, Intransitive verb",to be broken
256,壊す,こわす,"Verb, Godan verb, Transitive verb",to break
257,首,くび,Noun,neck
258,下さる,くださる,"Verb, Godan verb",(respectful) to give
259,雲,くも,Noun,cloud
260,君,くん,Suffix,suffix for familiar young male
261,比べる,くらべる,"Verb, Ichidan verb, Transitive verb",to compare
262,暮れる,くれる,"Verb, Ichidan verb, Intransitive verb",to get dark
263,草,くさ,Noun,grass
264,空気,くうき,Noun,air
265,空港,くうこう,Noun,airport
266,客,きゃく,Noun,guest; customer
267,教育,きょういく,"Noun, Suru verb",education
268,教会,きょうかい,Noun,church; congregation; Christian church
269,興味,きょうみ,Noun,interest (in something); curiosity (about something); zest (for)
270,競争,きょうそう,"Noun, Suru verb",competition
271,急,きゅう,"Adjective, な-adjective",sudden; abrupt; unexpected
272,急行,きゅうこう,"Noun, Verb, Suru verb",hurrying (to somewhere); rushing; hastening
273,間違える,まちがえる,"Verb, Ichidan verb, Transitive verb",to make a mistake (in)
274,参る,まいる,"Verb, Godan verb, Intransitive verb",(humble) to go; to come
275,負ける,まける,"Verb, Ichidan verb, Intransitive verb",to lose
276,漫画,まんが,Noun,comic
277,間に合う,まにあう,"Verb, Godan verb, Intransitive verb",to be in time (for)
278,真ん中,まんなか,Noun,middle; centre; center
279,周り,まわり,Noun,around
280,回る,まわる,"Verb, Godan verb, Intransitive verb",to go around
281,まず,,Adverb,first of all
282,召し上がる,めしあがる,"Verb, Godan verb, Transitive verb",to eat; to drink​
283,珍しい,めずらしい,"Adjective, い-adjective",unusual; rare
284,見える,みえる,"Verb, Ichidan verb, Intransitive verb",to be seen; to be in sight; to look; to seem
285,港,みなと,Noun,harbour
286,味噌,みそ,Noun,fermented condiment made from soybeans
287,見つかる,みつかる,"Verb, Godan verb, Intransitive verb",to be found; to be discovered
288,見つける,みつける,"Verb, Ichidan verb, Transitive verb",to discover; to find; to come across; to detect; to spot
289,都,みやこ,Noun,capital
290,湖,みずうみ,Noun,lake
291,戻る,もどる,"Verb, Godan verb, Intransitive verb",to turn back
292,木綿,もめん,Noun,cotton (material)
293,森,もり,Noun,forest
294,もし,,Adverb,if; in case; supposing
295,申し上げる,もうしあげる,"Verb, Ichidan verb, Transitive verb",to say; to offer
296,申す,もうす,"Verb, Godan verb, Transitive verb",to be called; to say
297,もうすぐ,,"Adverb, Expression",soon
298,迎える,むかえる,"Verb, Ichidan verb, Transitive verb",to go out to meet
299,昔,むかし,"Noun, Adverbial noun","olden days, former"
300,向かう,むかう,"Verb, Godan verb, Intransitive verb",to head towards
301,無理,むり,"Noun, Adjective, な-adjective, Suru verb",impossible
302,虫,むし,Noun,insect
303,息子,むすこ,Noun,son
304,娘,むすめ,Noun,daughter
305,投げる,なげる,"Verb, Ichidan verb, Transitive verb",to throw or cast away
306,泣く,なく,"Verb, Godan verb",to weep
307,無くなる,なくなる,"Verb, Godan verb, Intransitive verb",to disappear; to get lost
308,亡くなる,なくなる,"Verb, Godan verb, Intransitive verb",to die
309,生,なま,"Noun, Prefix",raw
310,直る,なおる,"Verb, Godan verb, Intransitive verb","to be fixed,to be repaired"
311,治る,なおる,"Verb, Godan verb, Intransitive verb",to be cured; to heal
312,慣れる,なれる,"Verb, Ichidan verb, Intransitive verb",to get used to
313,鳴る,なる,"Verb, Godan verb, Intransitive verb",to sound
314,なるほど,,"Adverb, Expression",now I understand
315,寝坊,ねぼう,"Noun, Verb, Suru verb",sleeping in late; oversleeping
316,値段,ねだん,Noun,price; cost
317,眠い,ねむい,"Adjective, い-adjective",sleepy
318,眠る,ねむる,"Verb, Godan verb, Intransitive verb",to sleep
319,熱,ねつ,Noun,fever
320,苦い,にがい,"Adjective, い-adjective",bitter
321,逃げる,にげる,"Verb, Ichidan verb, Intransitive verb",to escape
322,二階建て,にかいだて,Noun,two-storied building
323,人形,にんぎょう,Noun,doll
324,匂い,におい,Noun,a smell
325,似る,にる,"Verb, Ichidan verb, Intransitive verb",to be similar
326,喉,のど,Noun,throat
327,残る,のこる,"Verb, Godan verb, Intransitive verb",to remain
328,乗り換える,のりかえる,"Verb, Ichidan verb, Transitive verb",to change between buses or trains
329,乗り物,のりもの,Noun,vehicle
330,濡れる,ぬれる,"Verb, Ichidan verb, Intransitive verb",to get wet
331,塗る,ぬる,"Verb, Godan verb, Transitive verb",to paint; to plaster
332,盗む,ぬすむ,"Verb, Godan verb, Transitive verb",to steal
333,入学,にゅうがく,"Noun, Verb, Suru verb",entry to school or university; enrollment
334,入院,にゅういん,"Noun, Verb, Suru verb",hospitalization
335,落ちる,おちる,"Verb, Ichidan verb, Intransitive verb",to fall or drop
336,踊り,おどり,Noun,a dance
337,驚く,おどろく,"Verb, Godan verb, Intransitive verb",to be surprised
338,踊る,おどる,"Verb, Godan verb, Intransitive verb",to dance
339,お出でになる,おいでになる,"Verb, Godan verb, Expression",(respectful) to be
340,お祝い,おいわい,"Noun, Suru verb",congratulation
341,お嬢さん,おじょうさん,Noun,(another's) daughter
342,可笑しい,おかしい,"Adjective, い-adjective",strange or funny
343,行う,おこなう,"Verb, Godan verb, Transitive verb",to perform; to do; to carry out
344,怒る,おこる,"Verb, Godan verb, Intransitive verb",to be angry
345,起こす,おこす,"Verb, Godan verb, Transitive verb",to wake
346,億,おく,Numeric,one hundred million
347,屋上,おくじょう,Noun,rooftop​
348,遅れる,おくれる,"Verb, Ichidan verb, Intransitive verb",to be late
349,贈り物,おくりもの,Noun,present; gift
350,送る,おくる,"Verb, Godan verb, Transitive verb",to send
351,お祭り,おまつり,Noun,festival
352,お見舞い,おみまい,Noun,visiting ill or distressed people
353,お土産,おみやげ,Noun,souvenir
354,おもちゃ,,Noun,toy
355,思い出す,おもいだす,"Verb, Godan verb, Transitive verb",to remember
356,表,おもて,Noun,the front
357,オートバイ,,"Noun, Katakana",motorcycle
358,お礼,おれい,Noun,thanks
359,折れる,おれる,"Verb, Ichidan verb, Intransitive verb",to break; to be broken
360,下りる,おりる,"Verb, Ichidan verb, Intransitive verb",to get off
361,折る,おる,"Verb, Godan verb, Transitive verb",to break or to fold
362,押し入れ,おしいれ,Noun,closet
363,仰る,おっしゃる,"Verb, Godan verb, Transitive verb",(respectful) to say
364,お宅,おたく,Noun,your home
365,音,おと,Noun,sound; note
366,落とす,おとす,"Verb, Godan verb, Transitive verb",to drop
367,お釣り,おつり,Noun,change (for a purchase)​
368,夫,おっと,Noun,husband
369,終わり,おわり,Noun,the end
370,親,おや,Noun,parents
371,泳ぎ方,およぎかた,Noun,way of swimming
372,パート,,"Noun, Katakana",part; part time
373,パソコン,,"Noun, Katakana",personal computer
374,ピアノ,,"Noun, Katakana",piano
375,プレゼント,,"Noun, Katakana",present; gift
376,冷房,れいぼう,"Noun, Suru verb",air conditioning
377,レジ,,"Noun, Katakana",cashier​
378,歴史,れきし,Noun,history
379,連絡,れんらく,Suru verb,to contact; to get in touch​
380,レポート,,"Noun, Katakana",report
381,利用,りよう,"Noun, Verb, Suru verb",use; utilization; application
382,理由,りゆう,Noun,reason
383,留守,るす,"Noun, Suru verb",absence
384,旅館,りょかん,Noun,traditional inn; Japanese-style lodging
385,両方,りょうほう,Noun,both sides
386,寂しい,さびしい,"Adjective, い-adjective",lonely
387,下がる,さがる,"Verb, Godan verb, Intransitive verb",to get down
388,探す,さがす,"Verb, Godan verb, Transitive verb",to look for
389,下げる,さげる,"Verb, Ichidan verb, Transitive verb",to lower
390,最後,さいご,Noun,end; last
391,最近,さいきん,"Noun, Adverbial Noun",recently
392,最初,さいしょ,"Noun, Adverbial Noun",beginning; first
393,坂,さか,Noun,slope; hill
394,盛ん,さかん,"Adjective, な-adjective",popularity; prosperous
395,昨夜,さくや,"Noun, Adverbial Noun",last night
396,サンダル,,"Noun, Katakana",sandal
397,サンドイッチ,,"Noun, Katakana",sandwich
398,産業,さんぎょう,Noun,industry
399,サラダ,,"Noun, Katakana",salad
400,再来月,さらいげつ,"Noun, Adverbial Noun",month after next
401,再来週,さらいしゅう,"Noun, Adverbial Noun",week after next
402,差し上げる,さしあげる,"Verb, Ichidan verb, Transitive verb",to give
403,騒ぐ,さわぐ,"Verb, Godan verb, Intransitive verb","to make noise,to be excited"
404,触る,さわる,"Verb, Godan verb, Intransitive verb",to touch
405,生物,せいぶつ,Noun,living thing
406,政治,せいじ,Noun,politics
407,生活,せいかつ,"Noun, Suru verb",to live
408,生命,せいめい,Noun,life
409,生産,せいさん,"Noun, Suru verb",production
410,西洋,せいよう,Noun,the west; Western countries
411,世界,せかい,Noun,the world
412,席,せき,Noun,seat
413,線,せん,Noun,line
414,背中,せなか,Noun,back (of body)
415,先輩,せんぱい,Noun,senior
416,戦争,せんそう,"Noun, Suru verb",war
417,説明,せつめい,"Noun, Verb, Suru verb",explanation
418,社長,しゃちょう,Noun,company president; manager; director
419,社会,しゃかい,Noun,society; public; community; the world
420,市,し,Noun,city
421,試合,しあい,"Noun, Suru verb","match,game"
422,叱る,しかる,"Verb, Godan verb, Transitive verb",to scold
423,仕方,しかた,Noun,way; method
424,試験,しけん,"Noun, Suru verb",examination
425,しっかり,,"Adverb, Suru verb",firmly; steadily
426,島,しま,Noun,island
427,市民,市民,Noun,citizen
428,品物,しなもの,Noun,goods; article; thing
429,新聞社,しんぶんしゃ,Noun,newspaper company
430,親切,しんせつ,"Noun, Adjective, な-adjective",kindness
431,失敗,しっぱい,"Noun, Suru verb",failure
432,調べる,しらべる,"Verb, Ichidan verb, Transitive verb",to investigate
433,知らせる,しらせる,"Verb, Ichidan verb, Transitive verb",to notify
434,下着,したぎ,Noun,underwear
435,食料品,しょくりょうひん,Noun,food; groceries
436,小学校,しょうがっこう,Noun,elementary school
437,生じる,しょうじる,"Verb, Ichidan verb, Transitive verb",to produce
438,紹介,しょうかい,"Noun, Suru verb",introduction
439,将来,しょうらい,"Noun, Adverbial Noun",future
440,小説,しょうせつ,Noun,novel
441,趣味,しゅみ,Noun,hobby; pastime; preference
442,習慣,しゅうかん,Noun,habit; custom; cultural practice.
443,祖母,そぼ,Noun,grandmother
444,育てる,そだてる,"Verb, Ichidan verb, Transitive verb","to rear,to bring up"
445,祖父,そふ,Noun,grandfather
446,ソフト,,"Noun, Katakana",soft
447,そんな,,Pre-noun adjectival,that sort of
448,それで,,Conjunction,because of that
449,それほど,,Adverb,to that extent
450,そろそろ,,Adverb,gradually; soon
451,卒業,そつぎょう,"Noun, Suru verb",graduation
452,相談,そうだん,"Noun, Suru verb",to discuss
453,素晴らしい,すばらしい,"Adjective, い-adjective",wonderful
454,滑る,すべる,"Verb, Godan verb, Intransitive verb",to slide; to slip
455,凄い,すごい,"Adjective, い-adjective",terrific
456,水道,すいどう,Noun,water supply
457,水泳,すいえい,"Noun, Suru verb",swimming
458,すっかり,,Adverb,completely
459,空く,すく,"Verb, Godan verb, Intransitive verb",to be hungry
460,スクリーン,,"Noun, Katakana",screen
461,隅,すみ,Noun,corner; nook
462,済む,すむ,"Verb, Godan verb, Intransitive verb",to finish
463,砂,すな,Noun,sand
464,すり,,Noun,pickpocket
465,スーツケース,,"Noun, Katakana",suitcase
466,進む,すすむ,"Verb, Godan verb, Intransitive verb",to make progress
467,ステーキ,,"Noun, Katakana",steak
468,ステレオ,,"Noun, Katakana",stereo
469,捨てる,すてる,"Verb, Ichidan verb, Transitive verb",to throw away
470,数学,すうがく,Noun,mathematics; arithmetic
471,スーツ,,"Noun, Katakana",suit
472,正しい,ただしい,"Adjective, い-adjective",right; correct
473,退院,たいいん,"Noun, Verb, Suru verb",leaving hospital; discharge from hospital
474,台風,たいふう,Noun,typhoon
475,タイプ,,Noun,"type,style"
476,たいてい,,"Noun, Adjective, な-adjective, Adverb",usually
477,たまに,,Adverb,occasionally
478,棚,たな,Noun,shelves
479,誕生,たんじょう,"Noun, Suru verb",birth
480,楽しみ,たのしみ,"Noun, Adjective, な-adjective",looking forward to​
481,倒れる,たおれる,"Verb, Ichidan verb, Intransitive verb","to fall (over, down)"
482,足りる,たりる,"Verb, Ichidan verb, Intransitive verb",to be sufficient; to be enough
483,足す,たす,"Verb, Godan verb, Transitive verb",to add (numbers / something)
484,畳,たたみ,Noun,Japanese straw mat
485,建てる,たてる,"Verb, Ichidan verb, Transitive verb",to build
486,訪ねる,たずねる,"Verb, Ichidan verb, Transitive verb",to visit
487,尋ねる,たずねる,"Verb, Ichidan verb, Transitive verb",to ask
488,手袋,てぶくろ,Noun,glove
489,丁寧,ていねい,"Noun, Adjective, な-adjective",polite
490,テキスト,,"Noun, Katakana",text; textbook
491,適当,てきとう,"Noun, Adjective, な-adjective",suitable
492,点,てん,Noun,point; dot
493,店員,てんいん,Noun,employee (of a store); shop assistant; clerk
494,テニス,,"Noun, Katakana",tennis
495,天気予報,てんきよほう,Noun,weather forecast
496,展覧会,てんらんかい,Noun,exhibition
497,寺,てら,Noun,temple
498,手伝う,てつだう,"Verb, Godan verb, Transitive verb",to help; to assist; to aid​
499,途中,とちゅう,"Noun, Adverbial Noun",on the way
500,届ける,とどける,"Verb, Ichidan verb, Transitive verb",to send​
501,特急,とっきゅう,Noun,"limited express (train, faster than an express)"
502,床屋,とこや,Noun,barber
503,特別,とくべつ,"Noun, Adjective, な-adjective",special; particular; extraordinary; exceptional
504,特に,とくに,Adverb,particularly; especially; in particular; expressly
505,泊まる,とまる,"Verb, Godan verb, Intransitive verb",to stay at
506,止める,とめる,"Verb, Ichidan verb, Transitive verb",to stop something
507,遠く,とおく,"Noun, Adverbial Noun",distant
508,通る,とおる,"Verb, Godan verb, Intransitive verb",to go through
509,取り替える,とりかえる,"Verb, Ichidan verb, Transitive verb",to exchange; to swap; to replace
510,到頭,とうとう,Adverb,"finally, after all"
511,続ける,つづける,"Verb, Ichidan verb, Transitive verb",to continue; to keep up; to keep on
512,続く,つづく,"Verb, Godan verb, Intransitive verb",to continue
513,都合,つごう,"Noun, Adverb",convenience
514,捕まえる,つかまえる,"Verb, Ichidan verb, Transitive verb",to catch
515,漬ける,つける,"Verb, Ichidan verb, Transitive verb",to soak; to pickle
516,月,つき,Noun,moon
517,付く,つく,"Verb, Godan verb, Intransitive verb",to be attached
518,妻,つま,Noun,(humble) wife
519,連れる,つれる,"Verb, Ichidan verb, Transitive verb",to take (someone) with one
520,釣る,つる,"Verb, Godan verb, Transitive verb",to fish
521,伝える,つたえる,"Verb, Ichidan verb, Transitive verb",to report; to tell
522,包む,つつむ,"Verb, Godan verb, Transitive verb",to wrap
523,腕,うで,Noun,arm
524,植える,うえる,"Verb, Ichidan verb, Transitive verb",to plant; to grow
525,動く,うごく,"Verb, Godan verb, Intransitive verb",to move
526,伺う,うかがう,"Verb, Godan verb, Transitive verb",to visit
527,受ける,うける,"Verb, Ichidan verb, Transitive verb",to take a lesson or test
528,受付,うけつけ,Noun,reception (desk); information desk​
529,生まれ,うまれ,Noun,birth
530,運転手,うんてんしゅ,Noun,driver; chauffeur
531,裏,うら,Noun,reverse side
