#,Grammar,Reading,Meaning,Source
29,がましい,,look like; sound like; approximate; similar to; somewhat like ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8c%e3%81%be%e3%81%97%e3%81%84-gamashii-meaning/
30,がてら,,while; on the same occasion; at the same time; coincidentally ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8c%e3%81%a6%e3%82%89-gatera-meaning/
31,ごとき / ごとく / ごとし,,like; as if; the same as ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%94%e3%81%a8%e3%81%8d-%e3%81%94%e3%81%a8%e3%81%8f-%e3%81%94%e3%81%a8%e3%81%97-gotoki-gotoku-gotoshi-meaning/
32,ぐるみ,,together (with); -wide,https://jlptsensei.com/learn-japanese-grammar/%e3%81%90%e3%82%8b%e3%81%bf-gurumi-meaning/
33,羽目になる,（はめになる）,to get stuck with; to end up with (something unpleasant),https://jlptsensei.com/learn-japanese-grammar/%e7%be%bd%e7%9b%ae%e3%81%ab%e3%81%aa%e3%82%8b-%e3%81%af%e3%82%81%e3%81%ab%e3%81%aa%e3%82%8b-hame-ni-naru-meaning/
34,ほどのことではない,,it's not worth; no need to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%bb%e3%81%a9%e3%81%ae%e3%81%93%e3%81%a8%e3%81%a7%e3%81%af%e3%81%aa%e3%81%84-hodo-no-koto-dewa-nai-meaning/
35,ほうがましだ,,better than; would rather ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%bb%e3%81%86%e3%81%8c%e3%81%be%e3%81%97%e3%81%a0-hou-ga-mashi-da-meaning/
36,放題,（ほうだい）,doing as one pleases; to one's heart's content; leaving uncontrolled,https://jlptsensei.com/learn-japanese-grammar/%e6%94%be%e9%a1%8c-%e3%81%bb%e3%81%86%e3%81%a0%e3%81%84-houdai-meaning/
37,いかんだ / いかんでは / いかんによっては,,in accordance with; depending on; whether or not ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%84%e3%81%8b%e3%82%93%e3%81%a0-%e3%81%84%e3%81%8b%e3%82%93%e3%81%a7%e3%81%af-%e3%81%84%e3%81%8b%e3%82%93%e3%81%ab%e3%82%88%e3%81%a3%e3%81%a6%e3%81%af-ikan-dewa-meaning/
38,いかんにかかわらず / いかんによらず / いかんをとわず,,regardless of; whether or not; doesn't matter whether ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%84%e3%81%8b%e3%82%93%e3%81%ab%e3%81%8b%e3%81%8b%e3%82%8f%e3%82%89%e3%81%9a-%e3%81%84%e3%81%8b%e3%82%93%e3%81%ab%e3%82%88%e3%82%89%e3%81%9a-ikan-ni-kakawarazu-meaning/
39,いかなる,,any kind of; every; whatsoever; whatever,https://jlptsensei.com/learn-japanese-grammar/%e5%a6%82%e4%bd%95%e3%81%aa%e3%82%8b-%e3%81%84%e3%81%8b%e3%81%aa%e3%82%8b-ikanaru-meaning/
40,いかに,,how; in what way; how much; to what extent,https://jlptsensei.com/learn-japanese-grammar/%e5%a6%82%e4%bd%95%e3%81%ab-%e3%81%84%e3%81%8b%e3%81%ab-ikani-meaning/
41,いかにも,,indeed; really; truly; just (like); very; extremely ~,https://jlptsensei.com/learn-japanese-grammar/%e5%a6%82%e4%bd%95%e3%81%ab%e3%82%82-%e3%81%84%e3%81%8b%e3%81%ab%e3%82%82-ikani-mo-meaning/
42,いずれにしても / いずれにしろ / いずれにせよ,,anyhow; anyway; either way; in any case ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%84%e3%81%9a%e3%82%8c%e3%81%ab%e3%81%97%e3%81%a6%e3%82%82-%e3%81%84%e3%81%9a%e3%82%8c%e3%81%ab%e3%81%9b%e3%82%88-izure-ni-shitemo-meaning/
43,じみた,,to become; to appear like; to look like; tainted with ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%98%e3%81%bf%e3%81%9f-jimita-meaning/
44,か否か,（かいなか）,whether or not ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e5%90%a6%e3%81%8b-%e3%81%8b%e3%81%84%e3%81%aa%e3%81%8b-ka-ina-ka-meaning/
45,かと思いきや,（かとおもいきや）,"contrary to expectations; or so we thought, but ~",https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%81%a8%e6%80%9d%e3%81%84%e3%81%8d%e3%82%84-%e3%81%8b%e3%81%a8%e3%81%8a%e3%82%82%e3%81%84%e3%81%8d%e3%82%84-to-omoikiya-meaning/
46,限りだ,（かぎりだ）,to feel strongly,https://jlptsensei.com/learn-japanese-grammar/%e9%99%90%e3%82%8a%e3%81%a0-kagiri-da-meaning/
47,甲斐もなく,（かいもなく）,despite; even though ~,https://jlptsensei.com/learn-japanese-grammar/%e7%94%b2%e6%96%90%e3%82%82%e3%81%aa%e3%81%8f-%e3%81%8b%e3%81%84%e3%82%82%e3%81%aa%e3%81%8f-kai-mo-naku-meaning/
48,可能性がある,（かのうせいがある）,may/might; there’s a possibility that ~,https://jlptsensei.com/learn-japanese-grammar/%e5%8f%af%e8%83%bd%e6%80%a7%e3%81%8c%e3%81%82%e3%82%8b-%e3%81%8b%e3%81%ae%e3%81%86%e3%81%9b%e3%81%84%e3%81%8c%e3%81%82%e3%82%8b-kanousei-ga-aru-meaning/
49,からある / からする / からの,,at least; as much as; as many as ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%82%89%e3%81%82%e3%82%8b-kara-aru-%e3%81%8b%e3%82%89%e3%81%99%e3%82%8b-kara-suru-%e3%81%8b%e3%82%89%e3%81%ae-kara-no-meaning/
50,かれ～かれ,,sooner or later; more or less,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%82%8c%ef%bd%9e%e3%81%8b%e3%82%8c-kare-kare-meaning/
51,かたがた,,while; at the same time; incidentally; for the purpose of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%81%9f%e3%81%8c%e3%81%9f-katagata-meaning/
52,かたわら,,while; besides; at the same time; in addition,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%81%9f%e3%82%8f%e3%82%89-katawara-meaning/
53,かつて,,once; before; formerly; ever; former; ex-,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%81%a4%e3%81%a6-katsute-meaning/
54,嫌いがある,（きらいがある）,bad habit; to have a tendency to ~,https://jlptsensei.com/learn-japanese-grammar/%e5%ab%8c%e3%81%84%e3%81%8c%e3%81%82%e3%82%8b-%e3%81%8d%e3%82%89%e3%81%84%e3%81%8c%e3%81%82%e3%82%8b-kirai-ga-aru-meaning/
55,切りがない,（きりがない）,endless; boundless; going on forever​; there’s no end to ~,https://jlptsensei.com/learn-japanese-grammar/%e5%88%87%e3%82%8a%e3%81%8c%e3%81%aa%e3%81%84-%e3%81%8d%e3%82%8a%e3%81%8c%e3%81%aa%e3%81%84-kiri-ga-nai-meaning/
56,きっての,,the most / greatest … of all,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8d%e3%81%a3%e3%81%a6%e3%81%ae-kitte-no-meaning/
57,極まる / 極まりない,（きわまる / きわまりない）,extremely; very ~,https://jlptsensei.com/learn-japanese-grammar/%e6%a5%b5%e3%81%be%e3%82%8b-%e6%a5%b5%e3%81%be%e3%82%8a%e3%81%aa%e3%81%84-kiwamaru-kiwamarinai-meaning/
58,こそあれ,,although; even though ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%9d%e3%81%82%e3%82%8c-koso-are-meaning/
59,こそすれ,,and; although; but ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%9d%e3%81%99%e3%82%8c-koso-sure-meaning/
60,こそ「～が・けれど」,,but; although (emphasis),https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%9d%ef%bd%9e%e3%81%8c%ef%bd%9e%e3%81%91%e3%82%8c%e3%81%a9-koso-ga-keredo-meaning/
61,ことごとく,,altogether; entirely; completely ~,https://jlptsensei.com/learn-japanese-grammar/%e6%82%89%e3%81%8f-%e3%81%93%e3%81%a8%e3%81%94%e3%81%a8%e3%81%8f-koto-gotoku-meaning/
62,ことこの上ない / この上ない / この上なく,（ことこのうえない / このうえない / このうえなく）,the most of all; the best; nothing is more ... than ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%a8%e3%81%93%e3%81%ae%e4%b8%8a%e3%81%aa%e3%81%84-%e3%81%93%e3%81%ae%e4%b8%8a%e3%81%aa%e3%81%84-%e3%81%93%e3%81%ae%e4%b8%8a%e3%81%aa%e3%81%8f-koto-no-ue-naku-meaning/
63,こともあって,,partly because; also because of; plus the reason for ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%a8%e3%82%82%e3%81%82%e3%81%a3%e3%81%a6-koto-mo-atte-meaning/
64,ことなしに,,without doing something,https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%a8%e3%81%aa%e3%81%97%e3%81%ab-koto-nashi-ni-meaning/
65,ことのないように,,so as not to; to not ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%a8%e3%81%ae%e3%81%aa%e3%81%84%e3%82%88%e3%81%86%e3%81%ab-koto-no-nai-you-ni-meaning/
66,こととて,,because; since ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%a8%e3%81%a8%e3%81%a6-koto-tote-meaning/
67,くらいなら,,rather than (do ...)​,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8f%e3%82%89%e3%81%84%e3%81%aa%e3%82%89-kurai-nara-meaning/
68,くらいのものだ,,only (emphasis),https://jlptsensei.com/learn-japanese-grammar/%e3%81%8f%e3%82%89%e3%81%84%e3%81%ae%e3%82%82%e3%81%ae%e3%81%a0-%e3%81%90%e3%82%89%e3%81%84%e3%81%ae%e3%82%82%e3%81%ae%e3%81%a0-kurai-no-mono-da-meaning/
69,までだ / までのことだ,,only; just; nothing else,https://jlptsensei.com/learn-japanese-grammar/%e3%81%be%e3%81%a7%e3%81%a0-%e3%81%be%e3%81%a7%e3%81%ae%e3%81%93%e3%81%a8%e3%81%a0-made-da-made-no-koto-da-meaning/
70,までもない / までもなく,,there's no need to; it’s not necessary to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%be%e3%81%a7%e3%82%82%e3%81%aa%e3%81%84-%e3%81%be%e3%81%a7%e3%82%82%e3%81%aa%e3%81%8f-made-mo-nai-made-mo-naku-meaning/
71,まじき,,should not; must not ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%be%e3%81%98%e3%81%8d-majiki-meaning/
72,まくる,,to do over and over again; to do relentlessly,https://jlptsensei.com/learn-japanese-grammar/%e3%81%be%e3%81%8f%e3%82%8b-%e3%81%be%e3%81%8f%e3%81%a3%e3%81%a6-makuru-makutte-meaning/
73,まみれ,,covered with; stained; smeared with ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%be%e3%81%bf%e3%82%8c-mamire-meaning/
74,まるっきり,,completely; absolutely; totally; (not) at all​ ~,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%b8%e3%81%a3%e3%81%8d%e3%82%8a-%e3%81%be%e3%82%8b%e3%81%a3%e3%81%8d%e3%82%8a-marukkiri-meaning/
75,めく,,seems; show signs of; to have the appearance of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%81%e3%81%8f-meku-meaning/
76,も同然だ,（もどうぜんだ）,just like; same as~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e5%90%8c%e7%84%b6%e3%81%a0-mo-douzen-da-meaning/
77,もさることながら,,"one may well say so, but~; not only... but also ~",https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%95%e3%82%8b%e3%81%93%e3%81%a8%e3%81%aa%e3%81%8c%e3%82%89-mo-saru-koto-nagara-meaning/
78,もしないで,,without even doing ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%97%e3%81%aa%e3%81%84%e3%81%a7-mo-shinai-de-meaning/
79,もはや,,already; now; no longer; not anymore,https://jlptsensei.com/learn-japanese-grammar/%e6%9c%80%e6%97%a9-%e3%82%82%e3%81%af%e3%82%84-mohaya-meaning/
80,もので,,because; for that reason,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%81%a7-mono-de-meaning/
81,ものを,,if only; I wish; I'm sorry it's not actually (regret),https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%82%92-mono-o-meaning/
82,ものと思われる / ものと見られる,（ものとおもわれる / ものとみられる）,to think; to suppose; it is believed/expected that ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%81%a8%e6%80%9d%e3%82%8f%e3%82%8c%e3%82%8b-%e3%82%82%e3%81%ae%e3%81%a8%e8%a6%8b%e3%82%89%e3%82%8c%e3%82%8b-mono-to-omowareru-meaning/
83,ものとする,,shall; to assume; understood as ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%81%a8%e3%81%99%e3%82%8b-mono-to-suru-meaning/
84,ものとして,,to assume; to suppose; on the presumption that ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%81%a8%e3%81%97%e3%81%a6-mono-toshite-meaning/
85,もしくは,,or; otherwise,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%97%e3%81%8f%e3%81%af-moshikuwa-meaning/
86,んばかりに,,as if; as though ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%93%e3%81%b0%e3%81%8b%e3%82%8a%e3%81%ab-n-bakari-ni-meaning/
87,んがために,,in order to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%93%e3%81%8c%e3%81%9f%e3%82%81%e3%81%ab-n-ga-tame-ni-meaning/
88,ながらに / ながらの,,while; during; without change; performed in this condition,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%8c%e3%82%89%e3%81%ab-%e3%81%aa%e3%81%8c%e3%82%89%e3%81%ae-nagara-ni-nagara-no-meaning/
89,ないまでも,,not to say; although it does not reach the level of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%84%e3%81%be%e3%81%a7%e3%82%82-nai-made-mo-meaning/
90,ないものでもない,,is not entirely impossible,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%84%e3%82%82%e3%81%ae%e3%81%a7%e3%82%82%e3%81%aa%e3%81%84-nai-mono-demo-nai-meaning/
91,ないものか / ないものだろうか,,isn't there; can’t we…?; can’t I…?,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%84%e3%82%82%e3%81%ae%e3%81%8b-%e3%81%aa%e3%81%84%e3%82%82%e3%81%ae%e3%81%a0%e3%82%8d%e3%81%86%e3%81%8b-nai-mono-ka-meaning/
92,ないとも限らない,（ないともかぎらない）,not necessarily; I can't say that; maybe; might ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%84%e3%81%a8%e3%82%82%e9%99%90%e3%82%89%e3%81%aa%e3%81%84-nai-tomo-kagiranai-meaning/
93,なくしては,,cannot do without ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%8f%e3%81%97%e3%81%a6%e3%81%af-nakushite-wa-meaning/
94,並み,（なみ）,average; ordinary; same level as; equal to; on par with ~,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%a6%e3%81%bf-%e3%81%aa%e3%81%bf-nami-meaning/
95,なんという / なんと / なんて,,"how (beautiful, etc.); what a ~",https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%82%93%e3%81%a8%e3%81%84%e3%81%86-%e3%81%aa%e3%82%93%e3%81%a8-%e3%81%aa%e3%82%93%e3%81%a6-nan-to-iu-nanto-nante-meaning/
96,何しろ,（なにしろ）,at any rate; after all; anyhow; anyway; in any case; because; as you know ~,https://jlptsensei.com/learn-japanese-grammar/%e4%bd%95%e3%81%97%e3%82%8d-%e3%81%aa%e3%81%ab%e3%81%97%e3%82%8d-nani-shiro-meaning/
97,ならでは,,distinctive of; uniquely applying to; special to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%82%89%e3%81%a7%e3%81%af-nara-dewa-meaning/
98,ならいざしらず / はいざしらず,,I don't know about ... but; it may be possible for ... but ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%82%89%e3%81%84%e3%81%96%e3%81%97%e3%82%89%e3%81%9a-%e3%81%af%e3%81%84%e3%81%96%e3%81%97%e3%82%89%e3%81%9a-nara-iza-shirazu-meaning/
99,なり,,as soon as; right after ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%82%8a-nari-meaning/
100,なりに / なりの,,suitable; in one's own way/style,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%82%8a%e3%81%ab-%e3%81%aa%e3%82%8a%e3%81%ae-nari-ni-nari-no-meaning/
101,なりとも,,at least; even just a little (adverbial particle),https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%82%8a%e3%81%a8%e3%82%82-nari-tomo-meaning/
102,なり～なり,,[A] or [B] or something; for instance ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%82%8a%ef%bd%9e%e3%81%aa%e3%82%8a-narinari-meaning/
103,なしに / なしで,,without; without doing ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%97%e3%81%ab-%e3%81%aa%e3%81%97%e3%81%a7-nashi-ni-nashi-de-meaning/
104,に,,and; in addition to; the combination of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab-ni-particle-meaning-and-in-addition/
105,に値する,（にあたいする）,to be worth; to be worthy of; to deserve; to merit​ ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e5%80%a4%e3%81%99%e3%82%8b-%e3%81%ab%e3%81%82%e3%81%9f%e3%81%84%e3%81%99%e3%82%8b-ni-atai-suru-meaning/
106,にあって,,at; on; during; in the condition of​ ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%82%e3%81%a3%e3%81%a6-ni-atte-meaning/
107,に引き換え,（にひきかえ）,compared to; in contrast to; unlike; while; whereas ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e5%bc%95%e3%81%8d%e6%8f%9b%e3%81%88-%e3%81%ab%e3%81%b2%e3%81%8d%e3%81%8b%e3%81%88-ni-hikikae-meaning/
108,に至る / に至った,（にいたる / にいたった）,leads to; come to a conclusion,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e8%87%b3%e3%82%8b-%e3%81%ab%e8%87%b3%e3%81%a3%e3%81%9f-%e3%81%84%e3%81%9f%e3%82%8b-%e3%81%84%e3%81%9f%e3%81%a3%e3%81%9f-ni-itaru-ni-itatta-meaning/
109,に至るまで,（にいたるまで）,as far as; up until; everything from ... to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e8%87%b3%e3%82%8b%e3%81%be%e3%81%a7-%e3%81%ab%e3%81%84%e3%81%9f%e3%82%8b%e3%81%be%e3%81%a7-ni-itaru-made-meaning/
110,に至っても,（にいたっても）,even if; even though; although something reached the point ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e8%87%b3%e3%81%a3%e3%81%a6%e3%82%82-%e3%81%ab%e3%81%84%e3%81%9f%e3%81%a3%e3%81%a6%e3%82%82-ni-itattemo-meaning/
111,に至っては,（にいたっては）,when it comes to; as for ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e8%87%b3%e3%81%a3%e3%81%a6%e3%81%af-%e3%81%ab%e3%81%84%e3%81%9f%e3%81%a3%e3%81%a6%e3%81%af-ni-ittate-wa-meaning/
112,に言わせれば,（にいわせれば）,if you ask; if one may say ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e8%a8%80%e3%82%8f%e3%81%9b%e3%82%8c%e3%81%b0-ni-iwasereba-meaning/
113,に限ったことではない,（にかぎったことではない）,not limited to only ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e9%99%90%e3%81%a3%e3%81%9f%e3%81%93%e3%81%a8%e3%81%a7%e3%81%af%e3%81%aa%e3%81%84-ni-kagitta-koto-de-wa-nai-meaning/
114,にかかっては / にかかったら / にかかると / かかれば,,"when handled by (N), becomes a completely different result",https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%8b%e3%81%8b%e3%81%a3%e3%81%a6%e3%81%af-%e3%81%ab%e3%81%8b%e3%81%8b%e3%81%a3%e3%81%9f%e3%82%89-%e3%81%ab%e3%81%8b%e3%81%8b%e3%82%8b%e3%81%a8-%e3%81%8b%e3%81%8b%e3%82%8c%e3%81%b0-meaning/
115,にかかっている,,depending on; to depend on; whether or not,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%8b%e3%81%8b%e3%81%a3%e3%81%a6%e3%81%84%e3%82%8b-ni-kakatteiru-meaning/
116,にかこつけて,,to use as a pretext; to use as an excuse,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%8b%e3%81%93%e3%81%a4%e3%81%91%e3%81%a6-ni-kako-tsukete-meaning/
117,にかまけて,,to be too busy; to focus / concentrate only on ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%8b%e3%81%be%e3%81%91%e3%81%a6-ni-kamakete-meaning/
