#,Grammar,Reading,Meaning,Source
66,もかまわず,,without caring; without worrying about ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e6%a7%8b%e3%82%8f%e3%81%9a-%e3%82%82%e3%81%8b%e3%81%be%e3%82%8f%e3%81%9a-mo-kamawazu-meaning/
67,も当然だ,（もとうぜんだ）,it’s only natural; no wonder; might as well ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e5%bd%93%e7%84%b6%e3%81%a0-mo-touzen-da-meaning/
68,もの / もん,,because; indicates reason/ excuse/ dissatisfaction,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae-mono-%e3%82%82%e3%82%93-mon-meaning/
69,ものだ,,describe feeling; express memories; state fact,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%81%a0-%e3%82%82%e3%81%ae%e3%81%98%e3%82%83%e3%81%aa%e3%81%84-mono-da-mono-janai-meaning/
70,ものだから,,so; therefore; the reason for something,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%81%a0%e3%81%8b%e3%82%89-mono-dakara-meaning/
71,ものではない,,shouldn’t do something; it’s impossible to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%81%a7%e3%81%af%e3%81%aa%e3%81%84-mono-dewa-nai-meaning/
72,ものがある,,there is such a thing; to be the case that​; feels like ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%81%8c%e3%81%82%e3%82%8b-mono-ga-aru-meaning/
73,ものか / もんか,,as if (something untrue were actually true); there's no way ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%81%8b-%e3%82%82%e3%82%93%e3%81%8b-mono-ka-mon-ka-meaning/
74,ものなら,,"if I/we could; if [A] is possible, then [B]; if one can do something, then ~",https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%81%aa%e3%82%89-mono-nara-meaning/
75,ものの,,but; although; even though ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%ae%e3%81%ae-monono-meaning/
76,もっとも,,but then; although; though ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%a3%e3%81%a8%e3%82%82-motto-mo-meaning/
77,もう少しで,（もうすこしで）,"almost; nearly, close to ~",https://jlptsensei.com/learn-japanese-grammar/%e3%82%82%e3%81%86%e5%b0%91%e3%81%97%e3%81%a7-mou-sukoshi-de-meaning/
78,ないではいられない,,can’t help but feel; can’t help but do ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%84%e3%81%a7%e3%81%af%e3%81%84%e3%82%89%e3%82%8c%e3%81%aa%e3%81%84-nai-dewa-irarenai-meaning/
79,ないことには～ない,,unless you ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%84%e3%81%93%e3%81%a8%e3%81%ab%e3%81%af%ef%bd%9e%e3%81%aa%e3%81%84-nai-koto-niwanai-meaning/
80,中を / 中では,（なかを / なかでは）,in; on; in the midst of; when; while ~,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%ad%e3%82%92-%e4%b8%ad%e3%81%a7%e3%81%af-naka-o-naka-dewa-meaning/
81,なくはない / なくもない,,it’s not that; I may (double negative),https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%8f%e3%81%af%e3%81%aa%e3%81%84-naku-wa-nai-meaning/
82,なくて済む,（なくてすむ）,get by without doing ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%8f%e3%81%a6%e6%b8%88%e3%82%80-nakute-sumu-meaning/
83,何も～ない,（なにも～ない）,nothing; (not) ~ at all; there’s no need to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%ab%e3%82%82%ef%bd%9e%e3%81%aa%e3%81%84-nanimonai-meaning/
84,なお,,still; yet​; furthermore; in addition ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%81%8a-nao-meaning/
85,ねばならない,,have to do; must; should ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ad%e3%81%b0%e3%81%aa%e3%82%89%e3%81%aa%e3%81%84-neba-naranai-meaning/
86,にあたって,,at the time; on the occasion of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%82%e3%81%9f%e3%81%a3%e3%81%a6-ni-atatte-meaning/
87,にほかならない,,nothing but; none other than ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%bb%e3%81%8b%e3%81%aa%e3%82%89%e3%81%aa%e3%81%84-ni-hoka-naranai-meaning/
88,に限らず,（にかぎらず）,not just; not only... but also ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e9%99%90%e3%82%89%e3%81%9a-ni-kagirazu-meaning/
89,に限る,（にかぎる）,is best; nothing is better than ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e9%99%90%e3%82%8b-ni-kagiru-meaning/
90,に限って,（にかぎって）,only; in particular ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e9%99%90%e3%81%a3%e3%81%a6-ni-kagitte-meaning/
91,に関わらず,（にかかわらず）,in spite of; regardless of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%8b%e3%81%8b%e3%82%8f%e3%82%89%e3%81%9a-ni-kakawarazu-meaning/
92,に関わる,（にかかわる）,to relate to; to have to do with; relating to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e9%96%a2%e3%82%8f%e3%82%8b-%e3%81%ab%e3%81%8b%e3%81%8b%e3%82%8f%e3%82%8b-ni-kakawaru-meaning/
93,に決まっている,（にきまっている）,certainly; I’m sure/certain that; it must be the case that ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e6%b1%ba%e3%81%be%e3%81%a3%e3%81%a6%e3%81%84%e3%82%8b-ni-kimatte-iru-meaning/
94,に越したことはない,（にこしたことはない）,"it’s best that, there’s nothing better than ~",https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e8%b6%8a%e3%81%97%e3%81%9f%e3%81%93%e3%81%a8%e3%81%af%e3%81%aa%e3%81%84-ni-koshita-koto-wa-nai-meaning/
95,に応えて,（にこたえて）,in response to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e5%bf%9c%e3%81%88%e3%81%a6-ni-kotaete-meaning/
96,に加えて,（にくわえて）,in addition ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e5%8a%a0%e3%81%88%e3%81%a6-ni-kuwaete-meaning/
97,に基づいて,（にもとづいて）,based on; on the basis of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e5%9f%ba%e3%81%a5%e3%81%84%e3%81%a6-ni-motozuite-meaning/
98,に向かって,（にむかって）,to face; to go towards; to head to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e5%90%91%e3%81%8b%e3%81%a3%e3%81%a6-ni-mukatte-meaning/
99,に応じて,（におうじて）,depending on; in accordance with ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e5%bf%9c%e3%81%98%e3%81%a6-ni-oujite-meaning/
100,に際して,（にさいして）,on the occasion of; at the time of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e9%9a%9b%e3%81%97%e3%81%a6-ni-saishite-meaning/
101,に先立ち,（にさきだち）,before; prior to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e5%85%88%e7%ab%8b%e3%81%a1-ni-sakidachi-meaning/
102,にせよ/ にしろ,,even if; regardless; whether... or ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%9b%e3%82%88-%e3%81%ab%e3%81%97%e3%82%8d-ni-seyo-ni-shiro-meaning/
103,にしろ～にしろ,,whether… or ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%97%e3%82%8d%ef%bd%9e%e3%81%ab%e3%81%97%e3%82%8d-%e3%81%ab%e3%81%9b%e3%82%88-ni-shiro-ni-shiro-ni-seyo-meaning/
104,にしたら / にすれば,,from one’s perspective; from the point of view of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%97%e3%81%9f%e3%82%89-%e3%81%ab%e3%81%99%e3%82%8c%e3%81%b0-ni-shitara-ni-sureba-meaning/
105,にしても～にしても,,regardless of whether ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%97%e3%81%a6%e3%82%82%ef%bd%9e%e3%81%ab%e3%81%97%e3%81%a6%e3%82%82-ni-shitemoni-shitemo-meaning/
106,に沿って,（にそって）,along with; in accordance with ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e6%b2%bf%e3%81%a3%e3%81%a6-%e3%81%ab%e3%81%9d%e3%81%a3%e3%81%a6-ni-sotte-meaning/
107,に相違ない,（にそういない）,without a doubt; certain; sure,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e7%9b%b8%e9%81%95%e3%81%aa%e3%81%84-ni-soui-nai-meaning/
108,に過ぎない,（にすぎない）,no more than; just; merely; only ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e9%81%8e%e3%81%8e%e3%81%aa%e3%81%84-ni-suginai-meaning/
109,に伴って,（にともなって）,as; due to; with; along with; following; accordingly ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e4%bc%b4%e3%81%a3%e3%81%a6-ni-tomonatte-meaning/
110,につけ,,every time; whenever; as; whether; in (either case)​,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%a4%e3%81%91%e3%81%a6-ni-tsuke-te-meaning/
111,につき,,due to; because of; per; each,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%a4%e3%81%8d-ni-tsuki-meaning/
112,にわたって,,throughout; over a period of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%82%8f%e3%81%9f%e3%81%a3%e3%81%a6-ni-watatte-meaning/
113,にも関わらず,（にもかかわらず）,despite; in spite of; nevertheless; although ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%82%82%e9%96%a2%e3%82%8f%e3%82%89%e3%81%9a-%e3%81%ab%e3%82%82%e3%81%8b%e3%81%8b%e3%82%8f%e3%82%89%e3%81%9a-nimo-kakawarazu-meaning/
114,にて,,"in, at, with, by (formal particle)",https://jlptsensei.com/learn-japanese-grammar/%e3%81%ab%e3%81%a6-nite-meaning/
115,のももっともだ,,no wonder; …is only natural,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ae%e3%82%82%e3%82%82%e3%81%a3%e3%81%a8%e3%82%82%e3%81%a0-no-mo-motto-mo-da-meaning/
116,の下で,（のもとで）,under; with ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ae%e4%b8%8b%e3%81%a7-%e3%81%ae%e3%82%82%e3%81%a8%e3%81%a7-no-moto-de-meaning/
117,の上では,（のうえでは）,according to; from the viewpoint of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ae%e4%b8%8a%e3%81%a7%e3%81%af-no-ue-de-wa-meaning/
118,のみ,,only; nothing but​,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ae%e3%81%bf-nomi-meaning/
119,のみならず,,not only; besides; as well as ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ae%e3%81%bf%e3%81%aa%e3%82%89%e3%81%9a-nominarazu-meaning/
120,ぬ,,negative verb conjugation; traditional version of ない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%ac-nu-negative-verb-meaning/
121,抜きにして / 抜きで,（ぬきにして/ ぬきで）,without; leaving out; cutting out ~,https://jlptsensei.com/learn-japanese-grammar/%e6%8a%9c%e3%81%8d%e3%81%ab%e3%81%97%e3%81%a6-%e6%8a%9c%e3%81%8d%e3%81%a7-nuki-ni-shite-nuki-de-meaning/
122,抜く,（ぬく）,"to do something from beginning to end; completely, extremely ~",https://jlptsensei.com/learn-japanese-grammar/%e6%8a%9c%e3%81%8f-nuku-meaning/
123,を契機に,（をけいきに）,as a good opportunity/chance to; as a result of; make the best of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%92%e5%a5%91%e6%a9%9f%e3%81%ab-o-keiki-ni-meaning/
124,をめぐって,,concerning; in regard to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%92%e3%82%81%e3%81%90%e3%81%a3%e3%81%a6-o-megutte-meaning/
125,をもとに,,based on; derived from; building on; beginning with ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%92%e3%82%82%e3%81%a8%e3%81%ab-o-moto-ni-meaning/
126,を除いて,（をのぞいて）,except; with the exception of; excluding ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%92%e9%99%a4%e3%81%84%e3%81%a6-o-nozoite-meaning/
127,を問わず,（をとわず）,regardless of; irrespective of; no matter,https://jlptsensei.com/learn-japanese-grammar/%e3%82%92%e5%95%8f%e3%82%8f%e3%81%9a-o-towazu-meaning/
128,お～願う,（お～ねがう）,please do; could you please…; I ask of you to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8a%ef%bd%9e%e9%a1%98%e3%81%86-o-negau-meaning/
129,おまけに,,to make matters worse; besides; what's more; in addition; on top of that​,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8a%e3%81%be%e3%81%91%e3%81%ab-omake-ni-meaning/
130,恐らく,（おそらく）,perhaps; likely; probably; I dare say ~,https://jlptsensei.com/learn-japanese-grammar/%e6%81%90%e3%82%89%e3%81%8f-osoraku-meaning/
131,恐れがある,（おそれがある）,it is feared that; to be in danger of; to be liable to ~,https://jlptsensei.com/learn-japanese-grammar/%e6%81%90%e3%82%8c%e3%81%8c%e3%81%82%e3%82%8b-osore-ga-aru-meaning/
132,及び,（および）,and; as well as ~,https://jlptsensei.com/learn-japanese-grammar/%e5%8f%8a%e3%81%b3-%e3%81%8a%e3%82%88%e3%81%b3-oyobi-meaning/
133,ろくに～ない,,not well; not enough; improperly; insufficiently; unsatisfactorily​ ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%8d%e3%81%8f%e3%81%ab%ef%bd%9e%e3%81%aa%e3%81%84-roku-ni-nai-meaning/
134,幸いなことに,（さいわいなことに）,fortunately; luckily; thankfully ~,https://jlptsensei.com/learn-japanese-grammar/%e5%b9%b8%e3%81%84%e3%81%aa%e3%81%93%e3%81%a8%e3%81%ab-saiwai-na-koto-ni-meaning/
135,せいか,,perhaps because ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9b%e3%81%84%e3%81%8b-sei-ka-meaning/
136,せっかく,,"especially; (thank you for) troubling to, going to great pains for ~",https://jlptsensei.com/learn-japanese-grammar/%e3%81%9b%e3%81%a3%e3%81%8b%e3%81%8f-sekkaku-meaning/
137,せめて,,at least; at most ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9b%e3%82%81%e3%81%a6-semete-meaning/
138,次第,（しだい）,"as soon as, dependent upon",https://jlptsensei.com/learn-japanese-grammar/%e6%ac%a1%e7%ac%ac-shidai-meaning/
139,次第で,（しだいで）,depending on; so ~,https://jlptsensei.com/learn-japanese-grammar/%e6%ac%a1%e7%ac%ac%e3%81%a7-shidai-de-meaning/
