#,Vocabulary,Reading,Type,Meaning,Sentence JP,Sentence EN
103,火,ひ,Noun,fire,木の家は火がつきやすい。,Wooden houses catch fire easily.
104,酷い,ひどい,"Adjective, い-adjective",terrible; awful​,彼はひどい風邪をひいた。,He caught a terrible cold.
105,冷える,ひえる,"Verb, Ichidan verb, Intransitive verb",to grow cold,このビールはよく冷えていない。,This beer is not properly cooled.
106,髭,ひげ,Noun,beard,その髭はあなたには似合わない。,That beard doesn't suit you.
107,非常に,ひじょうに,Adverb,extremely,このブランドは非常にこうかである。,This brand is very expensive.
108,光,ひかり,Noun,light,光は音よりも速く進む。,Light travels faster than sound.
109,光る,ひかる,"Verb, Godan verb, Intransitive verb",to shine,あの上の方で光っている星は木星です。,The star which shines up there is Jupiter.
110,引き出し,ひきだし,Noun,drawer,その引き出しの中には何が入っていますか。,What is in that drawer?
111,引き出す,ひきだす,"Verb, Godan verb, Transitive verb",to withdraw,私はお金を引き出すためにぎんこうに行く。,I'll go to the bank to withdraw money.
112,引っ越す,ひっこす,"Verb, Godan verb, Intransitive verb",to move house,私は東京に引っ越すつもりだ。,I intend to move to Tokyo.
113,飛行場,ひこうじょう,Noun,airfield; airport,私はあなたにひこうじょうまで迎えに来てもらいたいです。,I want you to pick me up at the airfield.
114,開く,ひらく,"Verb, Godan verb, Intransitive verb, Transitive verb",to open; to undo; to unseal; to unpack,窓が開いている。,The window is open.
115,拾う,ひろう,"Verb, Godan verb, Transitive verb",to pick up,あなたはそれを拾ってください。,Please pick that up.
116,昼間,ひるま,Noun,daytime; during the day,私はいつも週末は昼間まで寝ています。,I'm always sleeping in until the afternoon on weekends.
117,昼休み,ひるやすみ,Noun,lunch break; noon recess; noon rest period,私はお昼休みには自宅に戻りました。,I went back to my home during my lunch break.
118,久しぶり,ひさしぶり,"Noun, Adjective, な-adjective",after a long time,今日は久しぶりに晴れでした。,It was the first clear day in a while today.
119,褒める,ほめる,"Verb, Ichidan verb, Transitive verb",to praise,彼が頑張っているのを褒める。,I will praise his hard work.
120,翻訳,ほんやく,"Noun, Suru verb",translation,それを翻訳するのは時間がかかる。,It will take time to translate that.
121,星,ほし,Noun,star,あの少年は星を見るのが大好きです。,That boy loves looking at stars.
122,ほとんど,,Adverbial Noun,mostly,彼はほとんど失敗しない。,He hardly fails.
123,法律,ほうりつ,Noun,law,私の兄は法律のべんきょうをするためにアメリカへ行った。,My brother went to the United States to study law.
124,放送,ほうそう,"Noun, Suru verb",to broadcast,今、彼らが出ているばんぐみが放送されています。,Now the program they are playing is being broadcast.
125,一度,いちど,Noun,once; one time; on one occasion,もう一度おねがいします。,One more time please.
126,以外,いがい,Noun,with the exception of; excepting,水以外何も見えない。,I don't see anything other than water.
127,医学,いがく,Noun,medical science; medicine,私は医学を専攻しています。,I'm majoring in medicine.
128,いじめる,,"Verb, Ichidan verb, Transitive verb",to tease,彼はいつも私をいじめる。,He's always getting at me.
129,以上,いじょう,"Noun, Adverbial Noun",... and more; ... and upwards​,ご注文は以上ですか？,Is that all for your order?
130,以下,いか,Noun,not exceeding,彼は20歳いかに見える。,He looks younger than 20.
131,意見,いけん,"Noun, Verb, Suru verb",opinion; view; comment,意見を聞かせてください。,Please tell me your opinion.
132,生き物,いきもの,Noun,living thing,彼の嫌いないきものはカエルです。,The animals that he hates are frogs.
133,生きる,いきる,"Verb, Ichidan verb, Intransitive verb",to live,私はいきる意味を失った。,I lost my reason to live.
134,以内,いない,"Noun, Suffix",within,1時間いないにあなたに電話します。,I will call you within an hour.
135,田舎,いなか,Noun,countryside,私の田舎は空気がきれいです。,My countryside's air is clean.
136,祈る,いのる,"Verb, Godan verb, Transitive verb",to pray,私は君の幸せをいのる。,I pray for your happiness.
137,いっぱい,,"Noun, Adjective, な-adjective, Adverb",full,私はサラダをいっぱい食べた。,I ate a lot of salad.
138,色んな,いろんな,Pre-noun adjectival,various,私は色んな物が食べたい。,I want to eat various things.
139,石,いし,Noun,stone,この橋は石から作られている。,This bridge was made from stones.
140,急ぐ,いそぐ,"Verb, Godan verb, Intransitive verb",to hurry; to rush; to hasten; to make something happen sooner,なぜそんなに急ぐのですか？,Why are you in such a hurry?
141,一生懸命,いっしょうけんめい,"Noun, Adverbial Noun, Adjective, な-adjective",very hard; with utmost effort,一生懸命勉強しなさい、じゃないと試験に落ちるよ。,"Study hard, or you won't pass the exam."
142,頂く,いただく,"Verb, Godan verb, Transitive verb",(humble) to receive,私たちは頂いたしりょうを読んでおきます。,We read the material that we received.
143,致す,いたす,"Verb, Godan verb, Transitive verb",(humble) to do,私はこのメールを再送いたします。,I am going to resend this email.
144,糸,いと,Noun,thread,この糸は太くて針のめどを通らない。,The thread is too thick to run through the needle's eye.
145,ジャム,,"Noun, Katakana",jam,私はりんごでジャムを作った。,I made jam with apples.
146,字,じ,Noun,character,あいつの字はろくに読めないよ。,His handwriting is almost illegible [unreadable].
147,時代,じだい,Noun,period,学生時代は彼が今ほど優しくなかった。,In his school days he wasn't as gentle as he is now.
148,事故,じこ,Noun,accident,私はじこで学校に遅れた。,I was late for school on account of an accident.
149,事務所,じむしょ,Noun,office,彼はじむしょから帰ったばかりだ。,He has come back from the office.
150,神社,じんじゃ,Noun,Shinto shrine,京都には神社や寺のような古い建物がたくさんあります。,There are many old buildings in Kyoto like shrines and temples.
151,人口,じんこう,Noun,population,オーストラリアの人口は日本の人口よりずっと少ない。,Australia's population is much smaller than Japan's.
152,人生,じんせい,Noun,human life,私は自分の人生を楽しんでいる。,I am enjoying my own life.
153,地震,じしん,Noun,earthquake,地震で列車が止まった。,The earthquake stopped the train.
154,辞典,じてん,Noun,dictionary,私は新しい電子辞典を買いました。,I bought a new electronic dictionary.
155,自由,じゆう,"Noun, Adjective, な-adjective, Expression",freedom,私は自由になりたい。,I want to be free.
156,女性,じょせい,Noun,woman; female,あなたは女性に見えます。,You look like a woman.
157,準備,じゅんび,"Noun, Suru verb",to prepare,私は急いでじゅんびする。,I hurry to prepare.
158,十分,じゅうぶん,"Noun, Adjective, な-adjective, Adverb",enough; sufficient; plenty; adequate; satisfactory,もう十分です。,"That's more than enough, thanks."
159,柔道,じゅうどう,Noun,judo,あなたはいつ柔道を習いましたか？,When did you learn judo?
160,住所,じゅうしょ,Noun,address,彼女の住所を知っています。,I know her address.
161,カーテン,,"Noun, Katakana",curtain,彼はカーテンの後ろから出てきた。,He came from behind the curtain.
162,壁,かべ,Noun,wall,その壁はあした彼がペンキを塗ってくれます。,He will paint the wall tomorrow.
163,課長,かちょう,Noun,section manager; section chief,彼らは彼を課長に選んだ。,The selected him as section chief.
164,帰り,かえり,Noun,return; coming back,今日は帰りが遅いです。,I will be late home today.
165,変える,かえる,"Verb, Ichidan verb, Transitive verb",to change; to transform,過去は変えることができない。,You cannot change the past.
166,科学,かがく,Noun,science,科学のクラスで私達は細胞の絵を書きました。,We drew pictures of cells in our science class.
167,鏡,かがみ,Noun,mirror,君の鏡をちょっと借りてもいいですか？,Can I borrow your mirror?
168,海岸,かいがん,Noun,coast,それはかいがんの近くにあります。,It is close to the coast.
169,会議,かいぎ,"Noun, Verb, Suru verb",meeting; conference; session; assembly,大阪において、国際会議が行われた。,There was an international meeting held in Osaka.
170,会議室,かいぎしつ,Noun,conference room; conference hall; council room,会議室に人を集めてください。,Everyone please gather in the meeting room.
171,会場,かいじょう,Noun,assembly hall; meeting place; venue; grounds,会場はどちらですか?,Where is the meeting going to be held?
172,会話,かいわ,"Noun, Verb, Suru verb",conversation,私たちはほとんど日本語で会話をする。,We speak mostly in Japanese.
173,火事,かじ,Noun,fire,子供たちは、かじで死んだ。,The children perished in the fire.
174,格好,かっこう,Noun,appearance,あなたはそのかっこうが似合っていますね。,You look good in those clothes!
175,構う,かまう,"Verb, Godan verb",to mind,私はこの机で作業をしても構わないですか。,Is it alright if I work at this desk?
176,髪,かみ,Noun,hair,彼女の髪は汗でぬれている。,Her hair is wet with sweat.
177,噛む,かむ,"Verb, Godan verb, Transitive verb","to bite,to chew",彼にはつめを嚙むくせがある。,He has a habit of biting his nails.
178,家内,かない,Noun,(my) wife; inside the home; one's family,ご家内は何人ですか？,How many are in your family?
179,必ず,かならず,Adverb,always; certainly,その本はかならず売れる。,That book will certainly sell.
180,悲しい,かなしい,"Adjective, い-adjective",sad,そんなに悲しい思いをしたくない。,I don't want to have such sad thoughts.
181,考える,かんがえる,"Verb, Ichidan verb, Transitive verb",to think,あなたは何を考えているの。,What are you thinking about?
182,看護婦,かんごふ,Noun,female nurse,彼女は看護婦になった。,She became a nurse.
183,関係,かんけい,"Noun, Suru verb",relationship,彼らはそのかんけいを続けている。,They are continuing that relationship.
184,彼女,かのじょ,Pronoun,she; her​,彼女は何をしているの？,What is she doing?
185,簡単,かんたん,"Noun, Adjective, な-adjective",simple; easy,このパンはかんたんに切れる。,This bread cuts easily.
186,彼,かれ,Pronoun,he; him​; his,彼のことを信じています。,I believe in him.
187,彼ら,かれら,Pronoun,they; them,彼らは私を手伝います。,They help me.
188,形,かたち,Noun,shape,この商品の形はしっかりしている。,The shape of this product is very solid.
189,片付ける,かたづける,"Verb, Ichidan verb, Transitive verb",to tidy up,私たちはそのゴミをかたづける。,We clean up that garbage.
190,硬い,かたい,"Adjective, い-adjective",hard,このペンは硬いです。,This pen is hard.
191,勝つ,かつ,"Verb, Godan verb, Intransitive verb",to win,今はどちらが勝っているのですか。,Which side is winning now?
192,乾く,かわく,"Verb, Godan verb, Intransitive verb",to get dry,私のシャツはまだ乾いていない。,My shirt isn't dry yet.
193,代わり,かわり,Noun,instead; in place,当日は、山田が私の代わりです。,"Today, Yamada will be in place of me."
194,変わる,かわる,"Verb, Godan verb, Intransitive verb",to change,それは変わるかのうせいがあります。,That has the possibility of changing.
195,通う,かよう,"Verb, Godan verb, Intransitive verb",to commute,あなたはそこに通っているのですか？,Do you go there?
196,飾る,かざる,"Verb, Godan verb, Transitive verb",to decorate,あなたの部屋にこれを飾ってください。,Please decorate your room with this.
197,毛,け,Noun,hair or fur,あなたの髪の毛は似合っています。,Your haircut suits you.
198,ケーキ,,"Noun, Katakana",cake,私はケーキを持って来ましたよ。,I brought a cake.
199,怪我,けが,"Noun, Suru verb",to injure,彼は転んでけがをした。,He fell and got hurt.
200,計画,けいかく,"Noun, Suru verb",to plan,この計画は良くない。,That is not a good plan.
201,経験,けいけん,"Noun, Suru verb",to experience,この経験は私にとって大きなものでした。,This experience was a big thing for me.
202,警察,けいさつ,Noun,police,彼はけいさつに事故についてすべて話した。,He gave the police a full account of the accident.
203,経済,けいざい,Noun,"finance, economy",日本の経済は世界のトップに入っています。,Japan's economy is among the top in the world.
204,見物,けんぶつ,"Noun, Suru verb",sightseeing; visit,京都は見物するところが多い。,There are many sights to see in Kyoto.
205,喧嘩,けんか,"Noun, Suru verb",to quarrel,私は娘とけんかをした。,I had an argument with my daughter.
206,研究,けんきゅう,"Noun, Suru verb",research,私の研究はまだ始まっていません。,I haven't started my research yet.
207,研究室,けんきゅうしつ,Noun,laboratory,じゃあ私たちは明日、研究室で会いましょう！,"Alright, let's meet in the laboratory tomorrow!"
208,消しゴム,,Noun,eraser,私の消しゴムはどこですか？,Where is my eraser?
209,景色,けしき,Noun,scenery,私は景色のいいところに行きたい。,I want to go somewhere with nice scenery.
210,気,き,Noun,spirit,彼の気が進まないのは明らかだ。,It's apparent (that) he is unwilling.
211,厳しい,きびしい,"Adjective, い-adjective",strict,彼は厳しいですか。,Is he strict?
212,気分,きぶん,Noun,feeling; mood,彼らの気分は大丈夫？,Are they feeling alright?
213,機会,きかい,Noun,chance; opportunity,またおしゃべりできる機会があるといいなあ。,I hope we have a chance to speak again.
214,危険,きけん,"Noun, Adjective, な-adjective",danger,ここで泳ぐのは危険です。,It is dangerous to swim here.
215,聞こえる,きこえる,"Verb, Ichidan verb, Intransitive verb",to be heard; to be audible; to be said,ハッキリ聞こえる。,I can hear it distinctly.
216,決まる,きまる,"Verb, Godan verb, Intransitive verb",to be decided,私たちはどこに行くか決まっていない。,We haven't decided where we'll go.
217,決める,きめる,"Verb, Ichidan verb, Transitive verb",to decide,私が全てを決めることができます。,I can decide everything
218,君,きみ,Pronoun,You,君はいつ帰って来るか。,When are you coming back?
219,気持ち,きもち,Noun,feeling,私の今の気持ちはこの歌のようだ。,My feelings are like this song.
220,着物,きもの,Noun,kimono; Japanese traditional clothing,一度も、着物を着たことがない。,I have never wore a kimono.
221,近所,きんじょ,Noun,neighbourhood,このきんじょは静かです。,This is a quiet neighborhood.
222,絹,きぬ,Noun,silk,この美しいドレスは絹で出来ている。,This beautiful dress is made of silk.
223,季節,きせつ,Noun,season,私はきせつの中で春が好きです。,"Out of all the seasons, I like spring."
224,汽車,きしゃ,Noun,train,私はきしゃで旅行することが好きだ。,I am very fond of travelling by train.
225,規則,きそく,Noun,rule,私の学校はきそくが厳しいです。,My school's rules are strict.
226,子,こ,Noun,child,この子は私のまごです。,This child is my grandson.
227,心,こころ,Noun,heart,私は心で会話します。,I converse from the heart.
228,国際,こくさい,Noun,international,国際電話をかけたいのですが。,I'd like to make an overseas call.
229,細かい,こまかい,"Adjective, い-adjective","small, fine",私は細かい文字が読めない。,I can't read the small letters.
230,米,こめ,Noun,(husked grains of) rice,米はここで最も多く作られています。,Rice is made the most here.
231,込む,こむ,"Verb, Godan verb, Intransitive verb",to be crowded,この紙に必要な情報を書き込んでください。,Please write the necessary information on this paper.
232,今度,こんど,Noun,this time; next time,今度は何をしようか。,What shall we do next.
233,この間,このあいだ,Adverbial Noun,the other day; recently,あなたはこのあいだ走っていましたね。,I was running the other day.
234,このごろ,,Adverbial Noun,these days; nowadays,このごろあまり買い物に行かない。,I don't go shopping much these days.
235,コンピュータ,,"Noun, Katakana",computer,私はコンピュータを持っています。,I have a computer.
236,コンサート,,"Noun, Katakana",concert,彼のコンサートは最高だった。,His concert was unreal.
237,今夜,こんや,Noun,this evening; tonigh,今夜は早く帰れます。,I can come home early tonight.
238,これから,,Conjunction,after this,これからどうするべきか？,What should we do from here?
239,故障,こしょう,"Noun, Suru verb",to break-down,その車はこしょうした。,The car broke down.
240,答え,こたえ,Noun,response,君の答えは合っているよ。,Your answer is right.
241,小鳥,ことり,Noun,small bird,私は小鳥の食べ物を買いに行っています。,I go shopping for little bird food.
242,こう,,Adverb,this way,僕のやり方はこうだ。,I proceed in this way.
243,校長,こうちょう,Noun,principal; headmaster,私たちの校長先生は授業はしません。,Our principal does no teaching.
244,講堂,こうどう,Noun,auditorium,そのこうどうは1912年に建てられた。,The auditorium was built in 1912.
245,郊外,こうがい,Noun,suburb; residential area on the outskirt of a city,暴力犯罪は郊外にも広がった。,Violent crime spread into the suburbs.
246,講義,こうぎ,"Noun, Suru verb",lecture,私はそのこうぎを受けたい。,I want to take that lecture.
247,工業,こうぎょう,Noun,industry,そのはつめいによって新しく工業がおこった。,As a result of this invention a new industry sprang up.
248,工場,こうじょう,Noun,factory,このこうえんは昔、工場の一部でした。,This park was part of a factory long time ago.
249,高校,こうこう,Noun,senior high school; high school​,私は高校で英語を教えています。,I teach English at a high school.
250,高校生,こうこうせい,Noun,high school student,あなたも高校生ですか？,Are you also a high school student?
251,公務員,こうむいん,Noun,government worker,このアパートは公務員しか住めない。,Only civil servants can live in this apartment.
252,高等学校,こうとうがっこう,Noun,high school,私は去年高等学校を卒業した。,I graduated high school last year.
253,交通,こうつう,Noun,traffic,彼女は交通じこで死亡した。,She met her death in a traffic accident.
254,怖い,こわい,"Adjective, い-adjective",frightening,彼は怖い顔をしている。,He has a scared look on his face.
255,壊れる,こわれる,"Verb, Ichidan verb, Intransitive verb",to be broken,私は壊れるまでこの自転車を使いたい。,I want to use this bike until it breaks down.
256,壊す,こわす,"Verb, Godan verb, Transitive verb",to break,誰がこの窓を壊したのですか。,Who broke this window?
257,首,くび,Noun,neck,彼女はかれの首に抱きついた。,She flung her arms around his neck.
258,下さる,くださる,"Verb, Godan verb",(respectful) to give,もしあなたがそれを明日送って下さるとうれしいです。,I would be glad if you remember and send it to me tomorrow.
259,雲,くも,Noun,cloud,これらのくもは白い羊の群れのように見える。,These clouds look like a flock of white sheep.
260,君,くん,Suffix,suffix for familiar young male,君は何をしているのですか。,What are you doing?
261,比べる,くらべる,"Verb, Ichidan verb, Transitive verb",to compare,私は日本と他の国を比べることはできません。,I cannot compare Japan with other countries.
262,暮れる,くれる,"Verb, Ichidan verb, Intransitive verb",to get dark,私たちは日が暮れる前に車で１００キロ走破した。,We covered 100 kilometers in the car before it got dark.
263,草,くさ,Noun,grass,彼女は草をあんで箱を作った。,She wove the grass into a box.
