#,Vocabulary,Reading,Type,Meaning,Sentence JP,Sentence EN
87,国家,こっか,Noun,state; country; nation,私は再来年、国家試験を受ける。,I'll take the state examination the year after next.
88,国会,こっかい,Noun,National Diet; legislative assembly of Japan; parliament; congress,国会は開会中です.,The Diet is in session.
89,国境,こっきょう,Noun,national border,音楽に国境なし。,Music is universal.
90,国語,こくご,Noun,national language,彼は国語が好きだし得意だ。,"He likes Japanese, and he's good at it."
91,国民,こくみん,Noun,people (of a country); nation; citizen; national,彼はテレビで国民に演説した。,He gave an address to the nation on TV.
92,今後,こんご,"Noun, Adverbial Noun",from now on; hereafter,今後もがんばります！,I will continue to do my best!
93,今回,こんかい,"Noun, Adverbial Noun",now; this time; lately,今回が最後の試合だ。,This is the last match.
94,今日,こんにち,Expression,today; this day,今日は暑い。,Today is hot.
95,転ぶ,ころぶ,"Verb, Godan verb, Intransitive verb",to fall down; to fall over,自転車で転んだ。,I fell off my bicycle.
96,高速,こうそく,"Noun, Adjective, な-adjective",high-speed; rapid; express,彼は高速で作業をする。,He works at a fast pace.
97,訓練,くんれん,"Noun, Verb, Suru verb",training; drill; practice; discipline,軍隊の訓練はとても厳しい。,Military training is very strict.
98,教科書,きょうかしょ,Noun,textbook; coursebook; schoolbook,この教科書はとても高かった。,This textbook was very expensive.
99,協力,きょうりょく,"Noun, Verb, Suru verb",cooperation; collaboration,協力して成功させましょう。,Let's cooperate and make it a success.
100,強力,きょうりょく,"Noun, Adjective, な-adjective",powerful; strong,日本は経済的に強力な国家になった。,Japan has economically become a powerful nation.
101,急激,きゅうげき,"Adjective, な-adjective",sudden; abrupt; rapid; sharp; drastic; radical,株価の急激な下落があった。,There was a rapid decline in stock prices.
102,急に,きゅうに,Adverb,swiftly; rapidly; quickly; immediately; hastily,その車は急に曲がった。,That car made an abrupt turn.
103,吸収,きゅうしゅう,"Noun, Verb, Suru verb",absorption; suction; attraction,黒い布は光を吸収する。,Black cloth absorbs light.
104,急速,きゅうそく,"Noun, Adjective, な-adjective",rapid (e.g. progress),彼が急速に力を失います。,He runs out of steam quickly.
105,真面目,まじめ,"Noun, Adjective, な-adjective",serious; earnest,彼はまじめな人です。,He's a serious person.
106,真っ赤,まっか,"Noun, Adjective, な-adjective",bright red; deep red; flushed (of face),夕焼けで西の空は真っ赤に輝く。,The sunset glows in the west.
107,学ぶ,まなぶ,"Verb, Godan verb, Transitive verb",to study (in depth); to learn; to take lessons in,私はこの本を読んで学んだ。,I studied using this book.
108,万一,まんいち,"Noun, Adverb",emergency; unlikely event​; by some chance; by some possibility,万一病気になったらどうする。,"In the unlikely event that you fall ill, what shall we do?"
109,満足,まんぞく,"Noun, Adjective, な-adjective, Verb, Suru verb",satisfaction; contentment;​ sufficient; enough,あなたは満足していますか、それとも不満足ですか。,Are you satisfied or dissatisfied?
110,明確,めいかく,"Adjective, な-adjective",clear; precise; definite; distinct,それはいつ明確になりますか？,When will that become clear?
111,飯,めし,Noun,cooked rice; meal,夕飯はもう食べましたか。,Have you already had dinner?
112,味方,みかた,"Noun, Verb, Suru verb",friend; ally; supporter; taking sides with; supporting,弱い方に味方する。,I side with the underdog.
113,魅力,みりょく,Noun,charm; fascination; glamour; attraction; appeal,彼女には魅力を感じない。,I don't feel attracted towards her.
114,木曜,もくよう,"Noun, Adverbial Noun",Thursday,その会議は金曜から木曜に変更になった。,That meeting was changed from Friday to Thursday.
115,半ば,なかば,"Noun, Adverbial Noun, Suffix, Adverbial noun",middle; half; semi; halfway; partly,７月半ば。,In the middle of July.
116,熱心,ねっしん,"Noun, Adjective, な-adjective",enthusiastic; eager,私の父は熱心に働きました。,My dad was working very diligently.
117,日本,にほん,Noun,Japan,まだ日本に行ったことがない。,I still have not been to Japan.
118,能力,のうりょく,Noun,ability; faculty,彼は自分の能力に自信がある。,He has confidence in his ability.
119,入場,にゅうじょう,"Noun, Verb, Suru verb",entrance; admission; entering,入場料はいくらですか？,How much is the price of admission?
120,お昼,おひる,Noun,lunch; midday; daytime,お昼にしよう。,Let's get some lunch.
121,収める,おさめる,"Verb, Ichidan verb, Transitive verb",to supply; to dedicate; to make an offering; to pay,成功を収めるために、不正な方法を使った。,I used devious means to achieve success.
122,連続,れんぞく,"Noun, Verb, Suru verb",continuation; succession; series,今日まで10日連続勤務だ。,I've worked 10 consecutive days until today.
123,利益,りえき,"Noun, Verb, Suru verb",profit; gains; benefit,私の利益がないのでこの取引はしません。,I won't go through with this deal since there's nothing in it for me.
124,利口,りこう,"Noun, Adjective, な-adjective",clever; intelligent; wise; bright; sharp,彼女はとても利口だ。,She is very clever.
125,留学,りゅうがく,"Noun, Verb, Suru verb",studying abroad,留学はお金がかかる。,Studying abroad costs money.
126,作品,さくひん,Noun,work of art; performance,私の作品です。,This is my work (my creation).
127,左右,さゆう,"Noun, Verb, Suru verb",left and right,道を渡るときは左右をよく見なさい。,Be sure to look both ways when crossing the street.
128,成長,せいちょう,"Noun, Verb, Suru verb",growth; development; growing up; becoming an adult,私の弟は成長して医者になりました。,My younger brother grew up and became a doctor.
129,製品,せいひん,Noun,manufactured goods; finished goods; product,中国製品が市場にあふれた。,The market was flooding with Chinese products.
130,青年,せいねん,Noun,youth; young man,私の青年時代の親友たち。,the good friends of my youth.
131,刺激,しげき,"Noun, Verb, Suru verb",stimulus; impetus; incentive; encouragement; motivation; provocation; excitement; thrill,あなたの話はとても刺激的だった。,Your words were very stimulating.
132,資本,しほん,Noun,funds; capital,その計画に必要な資本を準備しなければならない。,We have to prepare the necessary capital for this plan.
133,品,しな,Noun,article; item; thing; goods; stock; quality,前菜は３品ご用意しております。,We prepared three dishes for the appetizer.
134,身長,しんちょう,Noun,body height; stature,あなたの身長はどれぐらいですか？,How tall are you?
135,進学,しんがく,"Noun, Verb, Suru verb",entering a higher-level school (often university),彼は大学院に進学した。,He continued onto graduate school.
136,新鮮,しんせん,"Adjective, な-adjective",fresh,新鮮な魚が食べたい。,I want to eat fresh fish.
137,支店,してん,Noun,branch office; branch store​,あなたはどの支店に口座を開いていますか。,Which branch do you have an account with?
138,使用,しよう,"Noun, Verb, Suru verb",use; application; employment; utilization.,使用出来ない。,Out of order.
139,食品,しょくひん,Noun,food; food products,私はできるだけ自然食品を食べています。,I try to eat as much natural foods as I can.
140,書物,しょもつ,Noun,book; volume,書物を読むのが好きです。,I like reading books.
141,書類,しょるい,Noun,document; official papers,準備ができしだい、私はあなたに書類を送ります。,Once I finish preparing everything I will send you the documents.
142,書斎,しょさい,Noun,study; library; den; home office; reading room,彼はいつも書斎で仕事をする。,He's always working in his study.
143,商売,しょうばい,Noun,trade; business; commerce; transaction; occupation,あの人は商売は何だ？,What is his profession?
144,奨学金,しょうがくきん,Noun,scholarship; stipend; student loan,彼は奨学金を得られそうだ。,He is likely to win the scholarship.
145,正午,しょうご,"Noun, Adverbial Noun",midday,正午が近い。,Noon is near.
146,商品,しょうひん,Noun,commodity; article of commerce; goods; stock; merchandise,それは人気商品だ。,That's a hot product.
147,少女,しょうじょ,Noun,little girl; maiden; young lady,その少女はお母さんに似ている。,The girl resembles her mother.
148,証明,しょうめい,"Noun, Verb, Suru verb",proof; verification; certification,それはまだ証明されていない。,That still hasn't been verified.
149,少年,しょうねん,Noun,boy; juvenile; young boy; youth; lad,あの眠っている少年は誰ですか？,Who is that sleeping boy?
150,少々,しょうしょう,"Noun, Adverbial Noun",just a minute; small quantity,家内は私より少々年上だ。,My wife is rather older than I am.
151,招待,しょうたい,"Noun, Verb, Suru verb",invitation,私を招待してくれてありがとう。,Thanks for inviting me.
152,週,しゅう,"Noun, Suffix",week,週一回ランニングをする。,I go running once a week.
153,集中,しゅうちゅう,"Noun, Verb, Suru verb",concentration; focusing; centralization; integration,彼は集中する時に一番カッコイイだ。,He is coolest when he is focused.
154,集団,しゅうだん,Noun,group; mass,彼は集団行動をしない。,He doesn't take part in group actions.
155,収穫,しゅうかく,"Noun, Verb, Suru verb",harvest; crop; fruits (of one's labors),この大根は秋に収穫する。,This Japanese radish is harvested in Autumn.
156,週間,しゅうかん,Noun,week,来週一週間はお休みです。,I have a one week vacation next week.
157,週刊,しゅうかん,Noun,weekly publication,それは日刊ですか週刊ですか？,Is it a daily or a weekly publication?
158,収入,しゅうにゅう,Noun,income; receipts; revenue; salary,君の収入は僕の収入の約２倍だ。,Your income is about twice as large as mine.
159,速度,そくど,Noun,speed; velocity; pace; rate,私は歩く速度が速い。,I walk fast.
160,少しも,すこしも,Adverb,anything of; not one bit (with negative sentence),少しもうれしくなかった。,I wasn't pleased one bit.
161,大半,たいはん,"Noun, Adverbial Noun",majority; more than half; most; largely; mainly,夏の大半私は北海道にいた。,I was in Hokkaido for the majority of summer.
162,大会,たいかい,Noun,convention; rally; conference; tournament;,私は息子の運動大会を見に行きます。,I will go to see my son's sports festival.
163,大した,たいした,Pre-noun adjectival,considerable; great; important; significant; a big deal,今の私にとって、睡眠不足は大した事ではない。,Lack of sleep is not a big deal to me now.
164,単なる,たんなる,Pre-noun adjectival,mere; simple; sheer,それは単なる暴力です。,That is simply violence.
165,多少,たしょう,"Noun, Adverb",more or less; somewhat; a little; a few; some,私は多少のお金があります。,I have a little money. (not rich but not poor)
166,手品,てじな,Noun,magic trick; illusion,彼の手品は不思議でとても素晴らしい。,His magic is mysterious and very wonderful.
167,哲学,てつがく,Noun,philosophy,彼の哲学はとても否定的なものだ。,His philosophy is very negative.
168,徹夜,てつや,"Noun, Verb, Suru verb",staying up all night,徹夜して疲れた。,I'm tired from staying up all night last night.
169,土地,とち,Noun,plot of land; lot; soil,人々の予想に反し、土地の値段が下がり続けている。,"Against everyone's predictions, the prices of land continue to drop."
170,都会,とかい,Noun,(big) city,彼は都会に住みたいと言いました。,He says he wants to live in the city.
171,取れる,とれる,"Verb, Ichidan verb, Intransitive verb, Transitive verb",to come off; to be removed; to be obtainable,この山から金が取れる。,Gold is found in this mountain.
172,取り上げる,とりあげる,"Verb, Ichidan verb, Transitive verb",to pick up,新しいアイデアを取り上げてください。,Please take up some new ideas.
173,図書,としょ,Noun,books,その変更した図書を送付します。,I'll send the revised books.
174,通学,つうがく,"Noun, Verb, Suru verb",commuting to school; school commute,彼は歩いて通学する。,He walks to school.
175,受け取る,うけとる,"Verb, Godan verb, Transitive verb",to receive; to understand,私はまだそれを受け取っていません。,I still haven't received that.
176,上手い,うまい,"Adjective, い-adjective",skillful; delicious,このレストランのカレーは上手いよ。,The curry at this restaurant is good.
177,運転,うんてん,"Noun, Verb, Suru verb",operation; driving,車を運転する。,To drive a car.
178,売れる,うれる,"Verb, Ichidan verb, Intransitive verb",to sell (well),この型の携帯電話はよく売れています。,This type of mobile phone sells well.
179,分ける,わける,"Verb, Ichidan verb, Transitive verb",to divide; to split; to part; to separate,彼らはお金を自分たちで分けた。,They divided the money amongst themselves.
180,悪口,わるぐち,"Noun, Verb, Suru verb",slander; bad-mouthing; abuse; insult; speaking ill (of),他人の悪口を言うな。,Don't say bad things of others.
181,夜明け,よあけ,Noun,dawn; daybreak,夜明けまで話し合いました。,We spoke all night until dawn.
182,余分,よぶん,Noun,extra; excess; surplus,私達はその余分な在庫を持っていません。,We don't have any extra stock.
183,読み,よみ,Noun,"reading (of a kanji, situation, etc)",この漢字の読み方は何ですか？,How do you read this kanji?
184,夜中,よなか,"Noun, Adverbial Noun",middle of the night; dead of night,私は夜中の2時に帰宅しました。,I got home at 2 o'clock last night.
185,宜しい,よろしい,"Adjective, い-adjective",(respectful) OK; all right,入っても宜しいですか。,May I come in?
186,唯一,ゆいいつ,"Noun, Adverbial Noun",only; sole; unique,彼女は私の唯一無二の友人だ。,She's my one and only friend.
187,輸入,ゆにゅう,"Noun, Verb, Suru verb",import; importation; introduction,昨年は輸入が輸出を超えた。,Last year imports exceeded exports.
188,輸出,ゆしゅつ,"Noun, Verb, Suru verb",export; exportation​,このお茶はアメリカへ輸出する。,This tea is exported to America.
189,夕べ,ゆうべ,"Noun, Adverbial Noun",evening / last night; yesterday evening,穏やかな夕べでした。,It was a peaceful evening.
190,有利,ゆうり,"Noun, な-adjective",advantageous; favorable; profitable,有利な状況にある。,To be in an advantageous situation.
191,全国,ぜんこく,Noun,the whole country,日本全国を旅行したいです。,I want to travel all around Japan.
192,随分,ずいぶん,"Adjective, な-adjective, Adverb",very; extremely; surprisingly; considerably; awfully,彼は随分変わってしまった。,He changed a lot.
